PLAYER_NAME,PLAYER_ID,ACTION_TYPE,SHOT_TYPE,shot_count,shot_makes,shot_description,shot_group,year
Jalen Williams,1631114,Alley Oop Dunk Shot,2,1,0,Alley Oop Dunk,DUNKS,2023
Jalen Williams,1631114,Alley Oop Layup shot,2,1,0,Alley Oop Layup,LAYUPS,2023
Jalen Williams,1631114,Cutting Dunk Shot,2,25,25,Specialty Dunk,DUNKS,2023
Jalen Williams,1631114,Cutting Finger Roll Layup Shot,2,1,1,Finger Roll,LAYUPS,2023
Jalen Williams,1631114,Cutting Layup Shot,2,32,25,Standard Layup,LAYUPS,2023
Jalen Williams,1631114,Driving Bank Hook Shot,2,7,2,Driving Hook Shot,POST_MOVES,2023
Jalen Williams,1631114,Driving Dunk Shot,2,16,14,Driving Dunk,DUNKS,2023
Jalen Williams,1631114,Driving Finger Roll Layup Shot,2,29,20,Finger Roll,LAYUPS,2023
Jalen Williams,1631114,Driving Floating Bank Jump Shot,2,11,7,2PT Floating Jump Shot,FLOATING_SHOTS,2023
Jalen Williams,1631114,Driving Floating Jump Shot,2,74,31,2PT Floating Jump Shot,FLOATING_SHOTS,2023
Jalen Williams,1631114,Driving Hook Shot,2,7,3,Driving Hook Shot,POST_MOVES,2023
Jalen Williams,1631114,Driving Layup Shot,2,109,56,Driving Layup,LAYUPS,2023
Jalen Williams,1631114,Driving Reverse Layup Shot,2,15,9,Driving Layup,LAYUPS,2023
Jalen Williams,1631114,Dunk Shot,2,5,4,Standard Dunk,DUNKS,2023
Jalen Williams,1631114,Fadeaway Bank shot,2,1,1,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Fadeaway Jump Shot,2,8,4,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Floating Jump shot,2,6,3,2PT Floating Jump Shot,FLOATING_SHOTS,2023
Jalen Williams,1631114,Hook Shot,2,4,0,Hook Shot,POST_MOVES,2023
Jalen Williams,1631114,Jump Bank Shot,2,1,0,2PT Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Jump Shot,2,165,59,2PT Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Layup Shot,2,17,6,Standard Layup,LAYUPS,2023
Jalen Williams,1631114,Pullup Jump shot,2,88,37,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Putback Dunk Shot,2,5,5,Putback Dunk,DUNKS,2023
Jalen Williams,1631114,Putback Layup Shot,2,12,10,Putback Layup,LAYUPS,2023
Jalen Williams,1631114,Reverse Layup Shot,2,7,5,Reverse Layup,LAYUPS,2023
Jalen Williams,1631114,Running Alley Oop Dunk Shot,2,3,3,Alley Oop Dunk,DUNKS,2023
Jalen Williams,1631114,Running Dunk Shot,2,25,23,Standard Dunk,DUNKS,2023
Jalen Williams,1631114,Running Finger Roll Layup Shot,2,6,5,Finger Roll,LAYUPS,2023
Jalen Williams,1631114,Running Jump Shot,2,12,5,2PT Running Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Running Layup Shot,2,35,21,Standard Layup,LAYUPS,2023
Jalen Williams,1631114,Running Pull-Up Jump Shot,2,9,3,2PT Running Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Running Reverse Layup Shot,2,2,2,Reverse Layup,LAYUPS,2023
Jalen Williams,1631114,Step Back Jump shot,2,18,7,2PT Step Back Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Tip Dunk Shot,2,5,4,Specialty Dunk,DUNKS,2023
Jalen Williams,1631114,Tip Layup Shot,2,20,10,Putback Layup,LAYUPS,2023
Jalen Williams,1631114,Turnaround Bank Hook Shot,2,1,0,Turnaround Hook Shot,POST_MOVES,2023
Jalen Williams,1631114,Turnaround Bank shot,2,1,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Turnaround Fadeaway shot,2,3,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Turnaround Hook Shot,2,1,1,Turnaround Hook Shot,POST_MOVES,2023
Jalen Williams,1631114,Turnaround Jump Shot,2,6,3,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2023
Jalen Williams,1631114,Alley Oop Dunk Shot,2,2,1,Alley Oop Dunk,DUNKS,2024
Jalen Williams,1631114,Alley Oop Layup shot,2,1,1,Alley Oop Layup,LAYUPS,2024
Jalen Williams,1631114,Cutting Dunk Shot,2,20,19,Specialty Dunk,DUNKS,2024
Jalen Williams,1631114,Cutting Layup Shot,2,23,18,Standard Layup,LAYUPS,2024
Jalen Williams,1631114,Driving Bank Hook Shot,2,2,2,Driving Hook Shot,POST_MOVES,2024
Jalen Williams,1631114,Driving Dunk Shot,2,13,8,Driving Dunk,DUNKS,2024
Jalen Williams,1631114,Driving Finger Roll Layup Shot,2,51,31,Finger Roll,LAYUPS,2024
Jalen Williams,1631114,Driving Floating Bank Jump Shot,2,16,5,2PT Floating Jump Shot,FLOATING_SHOTS,2024
