PLAYER_NAME,PLAYER_ID,ACTION_TYPE,SHOT_TYPE,shot_count,shot_makes,shot_description,shot_group,year
Antonio Daniels,1498,Driving Dunk Shot,2,10,10,Driving Dunk,DUNKS,1998
Antonio Daniels,1498,Driving Layup Shot,2,66,35,Driving Layup,LAYUPS,1998
Antonio Daniels,1498,Dunk Shot,2,2,2,Standard Dunk,DUNKS,1998
Antonio Daniels,1498,Hook Shot,2,2,2,Hook Shot,POST_MOVES,1998
Antonio Daniels,1498,Jump Shot,2,314,114,2PT Jump Shot,TWO_POINT_JUMPERS,1998
Antonio Daniels,1498,Jump Shot,3,48,10,3PT Jump Shot,THREE_POINT_JUMPERS,1998
Antonio Daniels,1498,Layup Shot,2,63,31,Standard Layup,LAYUPS,1998
Antonio Daniels,1498,Running Jump Shot,2,39,21,2PT Running Jump Shot,TWO_POINT_JUMPERS,1998
Antonio Daniels,1498,Slam Dunk Shot,2,3,3,Standard Dunk,DUNKS,1998
Antonio Daniels,1498,Tip Shot,2,1,0,Tip Shot,TIP_SHOTS,1998
Antonio Daniels,1498,Driving Dunk Shot,2,4,1,Driving Dunk,DUNKS,1999
Antonio Daniels,1498,Driving Layup Shot,2,20,14,Driving Layup,LAYUPS,1999
Antonio Daniels,1498,Dunk Shot,2,4,4,Standard Dunk,DUNKS,1999
Antonio Daniels,1498,Jump Shot,2,112,40,2PT Jump Shot,TWO_POINT_JUMPERS,1999
Antonio Daniels,1498,Jump Shot,3,3,1,3PT Jump Shot,THREE_POINT_JUMPERS,1999
Antonio Daniels,1498,Layup Shot,2,23,9,Standard Layup,LAYUPS,1999
Antonio Daniels,1498,Running Jump Shot,2,9,6,2PT Running Jump Shot,TWO_POINT_JUMPERS,1999
Antonio Daniels,1498,Slam Dunk Shot,2,8,8,Standard Dunk,DUNKS,1999
Antonio Daniels,1498,Driving Dunk Shot,2,2,2,Driving Dunk,DUNKS,2000
Antonio Daniels,1498,Driving Layup Shot,2,25,22,Driving Layup,LAYUPS,2000
Antonio Daniels,1498,Dunk Shot,2,8,8,Standard Dunk,DUNKS,2000
Antonio Daniels,1498,Jump Shot,2,219,74,2PT Jump Shot,TWO_POINT_JUMPERS,2000
Antonio Daniels,1498,Jump Shot,3,13,5,3PT Jump Shot,THREE_POINT_JUMPERS,2000
Antonio Daniels,1498,Layup Shot,2,55,32,Standard Layup,LAYUPS,2000
Antonio Daniels,1498,Running Jump Shot,2,13,11,2PT Running Jump Shot,TWO_POINT_JUMPERS,2000
Antonio Daniels,1498,Slam Dunk Shot,2,9,9,Standard Dunk,DUNKS,2000
Antonio Daniels,1498,Driving Dunk Shot,2,5,5,Driving Dunk,DUNKS,2001
Antonio Daniels,1498,Driving Finger Roll Shot,2,1,1,Finger Roll,LAYUPS,2001
Antonio Daniels,1498,Driving Layup Shot,2,17,15,Driving Layup,LAYUPS,2001
Antonio Daniels,1498,Dunk Shot,2,4,3,Standard Dunk,DUNKS,2001
Antonio Daniels,1498,Finger Roll Shot,2,4,3,Finger Roll,LAYUPS,2001
Antonio Daniels,1498,Jump Shot,2,396,141,2PT Jump Shot,TWO_POINT_JUMPERS,2001
Antonio Daniels,1498,Jump Shot,3,27,11,3PT Jump Shot,THREE_POINT_JUMPERS,2001
Antonio Daniels,1498,Layup Shot,2,67,38,Standard Layup,LAYUPS,2001
Antonio Daniels,1498,Running Dunk Shot,2,1,1,Standard Dunk,DUNKS,2001
Antonio Daniels,1498,Running Finger Roll Shot,2,1,1,Finger Roll,LAYUPS,2001
Antonio Daniels,1498,Running Hook Shot,2,1,1,Running Hook Shot,POST_MOVES,2001
Antonio Daniels,1498,Running Jump Shot,2,41,33,2PT Running Jump Shot,TWO_POINT_JUMPERS,2001
Antonio Daniels,1498,Running Layup Shot,2,1,1,Standard Layup,LAYUPS,2001
Antonio Daniels,1498,Slam Dunk Shot,2,17,17,Standard Dunk,DUNKS,2001
Antonio Daniels,1498,Tip Shot,2,3,2,Tip Shot,TIP_SHOTS,2001
Antonio Daniels,1498,Turnaround Jump Shot,2,2,2,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2001
Antonio Daniels,1498,Driving Dunk Shot,2,4,4,Driving Dunk,DUNKS,2002
Antonio Daniels,1498,Driving Finger Roll Shot,2,3,3,Finger Roll,LAYUPS,2002
Antonio Daniels,1498,Driving Layup Shot,2,33,27,Driving Layup,LAYUPS,2002
Antonio Daniels,1498,Dunk Shot,2,19,17,Standard Dunk,DUNKS,2002
Antonio Daniels,1498,Fadeaway Jump Shot,2,5,4,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2002
Antonio Daniels,1498,Finger Roll Shot,2,5,5,Finger Roll,LAYUPS,2002
Antonio Daniels,1498,Hook Shot,2,1,0,Hook Shot,POST_MOVES,2002
Antonio Daniels,1498,Jump Shot,2,378,113,2PT Jump Shot,TWO_POINT_JUMPERS,2002
Antonio Daniels,1498,Jump Shot,3,23,6,3PT Jump Shot,THREE_POINT_JUMPERS,2002
Antonio Daniels,1498,Layup Shot,2,90,49,Standard Layup,LAYUPS,2002
Antonio Daniels,1498,Reverse Layup Shot,2,6,4,Reverse Layup,LAYUPS,2002
Antonio Daniels,1498,Running Dunk Shot,2,1,1,Standard Dunk,DUNKS,2002
Antonio Daniels,1498,Running Finger Roll Shot,2,1,1,Finger Roll,LAYUPS,2002
Antonio Daniels,1498,Running Hook Shot,2,1,1,Running Hook Shot,POST_MOVES,2002
Antonio Daniels,1498,Running Jump Shot,2,28,22,2PT Running Jump Shot,TWO_POINT_JUMPERS,2002
Antonio Daniels,1498,Running Layup Shot,2,1,1,Standard Layup,LAYUPS,2002
Antonio Daniels,1498,Slam Dunk Shot,2,11,10,Standard Dunk,DUNKS,2002
Antonio Daniels,1498,Turnaround Jump Shot,2,2,1,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2002
Antonio Daniels,1498,Driving Dunk Shot,2,7,7,Driving Dunk,DUNKS,2003
Antonio Daniels,1498,Driving Layup Shot,2,20,13,Driving Layup,LAYUPS,2003
Antonio Daniels,1498,Dunk Shot,2,5,5,Standard Dunk,DUNKS,2003
Antonio Daniels,1498,Fadeaway Jump Shot,3,1,1,3PT Fadeaway Jump Shot,THREE_POINT_JUMPERS,2003
Antonio Daniels,1498,Jump Shot,2,53,20,2PT Jump Shot,TWO_POINT_JUMPERS,2003
Antonio Daniels,1498,Jump Shot,3,58,17,3PT Jump Shot,THREE_POINT_JUMPERS,2003
Antonio Daniels,1498,Layup Shot,2,18,6,Standard Layup,LAYUPS,2003
Antonio Daniels,1498,Reverse Layup Shot,2,3,2,Reverse Layup,LAYUPS,2003
Antonio Daniels,1498,Running Jump Shot,2,17,11,2PT Running Jump Shot,TWO_POINT_JUMPERS,2003
Antonio Daniels,1498,Slam Dunk Shot,2,1,1,Standard Dunk,DUNKS,2003
Antonio Daniels,1498,Turnaround Jump Shot,2,3,1,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2003
Antonio Daniels,1498,Driving Dunk Shot,2,7,6,Driving Dunk,DUNKS,2004
Antonio Daniels,1498,Driving Layup Shot,2,39,33,Driving Layup,LAYUPS,2004
Antonio Daniels,1498,Dunk Shot,2,5,4,Standard Dunk,DUNKS,2004
Antonio Daniels,1498,Fadeaway Jump Shot,2,4,2,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2004
Antonio Daniels,1498,Finger Roll Shot,2,2,2,Finger Roll,LAYUPS,2004
Antonio Daniels,1498,Hook Shot,2,1,0,Hook Shot,POST_MOVES,2004
Antonio Daniels,1498,Jump Bank Shot,3,1,1,3PT Jump Shot,THREE_POINT_JUMPERS,2004
Antonio Daniels,1498,Jump Hook Shot,2,1,1,Hook Shot,POST_MOVES,2004
Antonio Daniels,1498,Jump Shot,2,135,42,2PT Jump Shot,TWO_POINT_JUMPERS,2004
Antonio Daniels,1498,Jump Shot,3,115,41,3PT Jump Shot,THREE_POINT_JUMPERS,2004
Antonio Daniels,1498,Layup Shot,2,35,17,Standard Layup,LAYUPS,2004
Antonio Daniels,1498,Reverse Layup Shot,2,3,3,Reverse Layup,LAYUPS,2004
Antonio Daniels,1498,Running Hook Shot,2,1,1,Running Hook Shot,POST_MOVES,2004
Antonio Daniels,1498,Running Jump Shot,2,37,25,2PT Running Jump Shot,TWO_POINT_JUMPERS,2004
Antonio Daniels,1498,Running Layup Shot,2,3,1,Standard Layup,LAYUPS,2004
Antonio Daniels,1498,Slam Dunk Shot,2,5,5,Standard Dunk,DUNKS,2004
Antonio Daniels,1498,Turnaround Jump Shot,2,4,3,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2004
Antonio Daniels,1498,Alley Oop Layup shot,2,1,1,Alley Oop Layup,LAYUPS,2005
Antonio Daniels,1498,Driving Dunk Shot,2,8,8,Driving Dunk,DUNKS,2005
Antonio Daniels,1498,Driving Finger Roll Shot,2,7,4,Finger Roll,LAYUPS,2005
Antonio Daniels,1498,Driving Layup Shot,2,68,61,Driving Layup,LAYUPS,2005
Antonio Daniels,1498,Dunk Shot,2,2,1,Standard Dunk,DUNKS,2005
Antonio Daniels,1498,Fadeaway Jump Shot,2,7,1,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2005
Antonio Daniels,1498,Finger Roll Shot,2,2,2,Finger Roll,LAYUPS,2005
Antonio Daniels,1498,Hook Shot,2,2,2,Hook Shot,POST_MOVES,2005
Antonio Daniels,1498,Jump Bank Shot,2,5,4,2PT Jump Shot,TWO_POINT_JUMPERS,2005
Antonio Daniels,1498,Jump Bank Shot,3,1,0,3PT Jump Shot,THREE_POINT_JUMPERS,2005
Antonio Daniels,1498,Jump Shot,2,248,98,2PT Jump Shot,TWO_POINT_JUMPERS,2005
Antonio Daniels,1498,Jump Shot,3,163,49,3PT Jump Shot,THREE_POINT_JUMPERS,2005
Antonio Daniels,1498,Layup Shot,2,48,13,Standard Layup,LAYUPS,2005
Antonio Daniels,1498,Reverse Layup Shot,2,5,3,Reverse Layup,LAYUPS,2005
Antonio Daniels,1498,Running Hook Shot,2,2,1,Running Hook Shot,POST_MOVES,2005
Antonio Daniels,1498,Running Jump Shot,2,39,21,2PT Running Jump Shot,TWO_POINT_JUMPERS,2005
Antonio Daniels,1498,Running Jump Shot,3,1,0,3PT Running Jump Shot,THREE_POINT_JUMPERS,2005
Antonio Daniels,1498,Running Layup Shot,2,10,1,Standard Layup,LAYUPS,2005
Antonio Daniels,1498,Slam Dunk Shot,2,3,3,Standard Dunk,DUNKS,2005
Antonio Daniels,1498,Turnaround Jump Shot,2,1,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2005
Antonio Daniels,1498,Alley Oop Layup shot,2,1,1,Alley Oop Layup,LAYUPS,2006
Antonio Daniels,1498,Driving Dunk Shot,2,10,9,Driving Dunk,DUNKS,2006
Antonio Daniels,1498,Driving Finger Roll Shot,2,3,3,Finger Roll,LAYUPS,2006
Antonio Daniels,1498,Driving Hook Shot,2,1,1,Driving Hook Shot,POST_MOVES,2006
Antonio Daniels,1498,Driving Layup Shot,2,70,66,Driving Layup,LAYUPS,2006
Antonio Daniels,1498,Dunk Shot,2,6,6,Standard Dunk,DUNKS,2006
Antonio Daniels,1498,Fadeaway Jump Shot,2,14,14,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2006
Antonio Daniels,1498,Fadeaway Jump Shot,3,1,0,3PT Fadeaway Jump Shot,THREE_POINT_JUMPERS,2006
Antonio Daniels,1498,Finger Roll Shot,2,1,1,Finger Roll,LAYUPS,2006
Antonio Daniels,1498,Hook Shot,2,1,0,Hook Shot,POST_MOVES,2006
Antonio Daniels,1498,Jump Bank Shot,2,3,3,2PT Jump Shot,TWO_POINT_JUMPERS,2006
Antonio Daniels,1498,Jump Shot,2,252,46,2PT Jump Shot,TWO_POINT_JUMPERS,2006
Antonio Daniels,1498,Jump Shot,3,66,15,3PT Jump Shot,THREE_POINT_JUMPERS,2006
Antonio Daniels,1498,Layup Shot,2,69,22,Standard Layup,LAYUPS,2006
Antonio Daniels,1498,Reverse Layup Shot,2,2,2,Reverse Layup,LAYUPS,2006
Antonio Daniels,1498,Running Dunk Shot,2,1,1,Standard Dunk,DUNKS,2006
Antonio Daniels,1498,Running Hook Shot,2,2,0,Running Hook Shot,POST_MOVES,2006
Antonio Daniels,1498,Running Jump Shot,2,39,32,2PT Running Jump Shot,TWO_POINT_JUMPERS,2006
Antonio Daniels,1498,Running Layup Shot,2,3,3,Standard Layup,LAYUPS,2006
Antonio Daniels,1498,Slam Dunk Shot,2,2,2,Standard Dunk,DUNKS,2006
Antonio Daniels,1498,Turnaround Jump Shot,2,3,3,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2006
Antonio Daniels,1498,Driving Dunk Shot,2,3,3,Driving Dunk,DUNKS,2007
Antonio Daniels,1498,Driving Finger Roll Shot,2,1,0,Finger Roll,LAYUPS,2007
Antonio Daniels,1498,Driving Layup Shot,2,48,44,Driving Layup,LAYUPS,2007
Antonio Daniels,1498,Dunk Shot,2,2,2,Standard Dunk,DUNKS,2007
Antonio Daniels,1498,Fadeaway Jump Shot,2,7,5,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2007
Antonio Daniels,1498,Fadeaway Jump Shot,3,1,1,3PT Fadeaway Jump Shot,THREE_POINT_JUMPERS,2007
Antonio Daniels,1498,Finger Roll Shot,2,1,0,Finger Roll,LAYUPS,2007
Antonio Daniels,1498,Jump Bank Shot,2,6,5,2PT Jump Shot,TWO_POINT_JUMPERS,2007
Antonio Daniels,1498,Jump Hook Shot,2,1,1,Hook Shot,POST_MOVES,2007
Antonio Daniels,1498,Jump Shot,2,188,53,2PT Jump Shot,TWO_POINT_JUMPERS,2007
Antonio Daniels,1498,Jump Shot,3,44,12,3PT Jump Shot,THREE_POINT_JUMPERS,2007
Antonio Daniels,1498,Layup Shot,2,58,26,Standard Layup,LAYUPS,2007
Antonio Daniels,1498,Reverse Layup Shot,2,3,2,Reverse Layup,LAYUPS,2007
Antonio Daniels,1498,Running Dunk Shot,2,2,2,Standard Dunk,DUNKS,2007
Antonio Daniels,1498,Running Jump Shot,2,18,11,2PT Running Jump Shot,TWO_POINT_JUMPERS,2007
Antonio Daniels,1498,Running Layup Shot,2,3,2,Standard Layup,LAYUPS,2007
Antonio Daniels,1498,Slam Dunk Shot,2,1,1,Standard Dunk,DUNKS,2007
Antonio Daniels,1498,Turnaround Hook Shot,2,1,1,Turnaround Hook Shot,POST_MOVES,2007
Antonio Daniels,1498,Turnaround Jump Shot,2,1,1,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2007
Antonio Daniels,1498,Driving Dunk Shot,2,7,7,Driving Dunk,DUNKS,2008
Antonio Daniels,1498,Driving Finger Roll Layup Shot,2,4,4,Finger Roll,LAYUPS,2008
Antonio Daniels,1498,Driving Jump shot,2,3,3,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Driving Layup Shot,2,59,53,Driving Layup,LAYUPS,2008
Antonio Daniels,1498,Driving Reverse Layup Shot,2,2,2,Driving Layup,LAYUPS,2008
Antonio Daniels,1498,Dunk Shot,2,4,4,Standard Dunk,DUNKS,2008
Antonio Daniels,1498,Fadeaway Jump Shot,2,7,5,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Floating Jump shot,2,1,1,2PT Floating Jump Shot,FLOATING_SHOTS,2008
Antonio Daniels,1498,Jump Bank Shot,2,2,2,2PT Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Jump Shot,2,202,51,2PT Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Jump Shot,3,39,10,3PT Jump Shot,THREE_POINT_JUMPERS,2008
Antonio Daniels,1498,Layup Shot,2,62,21,Standard Layup,LAYUPS,2008
Antonio Daniels,1498,Pullup Jump shot,2,5,1,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Putback Layup Shot,2,1,1,Putback Layup,LAYUPS,2008
Antonio Daniels,1498,Reverse Layup Shot,2,2,1,Reverse Layup,LAYUPS,2008
Antonio Daniels,1498,Running Bank shot,2,5,5,2PT Running Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Running Dunk Shot,2,2,2,Standard Dunk,DUNKS,2008
Antonio Daniels,1498,Running Hook Shot,2,1,0,Running Hook Shot,POST_MOVES,2008
Antonio Daniels,1498,Running Jump Shot,2,30,24,2PT Running Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Running Layup Shot,2,4,4,Standard Layup,LAYUPS,2008
Antonio Daniels,1498,Running Slam Dunk Shot,2,2,2,Standard Dunk,DUNKS,2008
Antonio Daniels,1498,Slam Dunk Shot,2,1,1,Standard Dunk,DUNKS,2008
Antonio Daniels,1498,Turnaround Bank shot,2,1,1,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Turnaround Jump Shot,2,1,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2008
Antonio Daniels,1498,Driving Dunk Shot,2,1,1,Driving Dunk,DUNKS,2009
Antonio Daniels,1498,Driving Finger Roll Layup Shot,2,6,5,Finger Roll,LAYUPS,2009
Antonio Daniels,1498,Driving Layup Shot,2,18,16,Driving Layup,LAYUPS,2009
Antonio Daniels,1498,Dunk Shot,2,3,3,Standard Dunk,DUNKS,2009
Antonio Daniels,1498,Fadeaway Jump Shot,2,3,3,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2009
Antonio Daniels,1498,Floating Jump shot,2,2,2,2PT Floating Jump Shot,FLOATING_SHOTS,2009
Antonio Daniels,1498,Jump Bank Shot,2,1,1,2PT Jump Shot,TWO_POINT_JUMPERS,2009
Antonio Daniels,1498,Jump Shot,2,99,28,2PT Jump Shot,TWO_POINT_JUMPERS,2009
Antonio Daniels,1498,Jump Shot,3,44,16,3PT Jump Shot,THREE_POINT_JUMPERS,2009
Antonio Daniels,1498,Layup Shot,2,37,8,Standard Layup,LAYUPS,2009
Antonio Daniels,1498,Pullup Jump shot,2,8,7,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2009
