PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Ben Gordon,2732,2PT Fadeaway Jump Shot,6,6,TWO_POINT_JUMPERS,2005
Ben Gordon,2732,2PT Jump Shot,790,300,TWO_POINT_JUMPERS,2005
Ben Gordon,2732,2PT Running Jump Shot,60,39,TWO_POINT_JUMPERS,2005
Ben Gordon,2732,2PT Turnaround Jump Shot,6,6,TWO_POINT_JUMPERS,2005
Ben Gordon,2732,3PT Jump Shot,3,2,THREE_POINT_JUMPERS,2005
Ben Gordon,2732,Alley Oop Dunk,1,1,DUNKS,2005
Ben Gordon,2732,Driving Dunk,2,2,DUNKS,2005
Ben Gordon,2732,Driving Hook Shot,1,1,POST_MOVES,2005
Ben Gordon,2732,Driving Layup,36,28,LAYUPS,2005
Ben Gordon,2732,Finger Roll,10,9,LAYUPS,2005
Ben Gordon,2732,Hook Shot,2,0,POST_MOVES,2005
Ben Gordon,2732,Reverse Layup,3,2,LAYUPS,2005
Ben Gordon,2732,Running Hook Shot,4,3,POST_MOVES,2005
Ben Gordon,2732,Standard Dunk,4,2,DUNKS,2005
Ben Gordon,2732,Standard Layup,126,31,LAYUPS,2005
Ben Gordon,2732,Tip Shot,2,2,TIP_SHOTS,2005
Ben Gordon,2732,2PT Fadeaway Jump Shot,7,4,TWO_POINT_JUMPERS,2006
Ben Gordon,2732,2PT Jump Shot,898,362,TWO_POINT_JUMPERS,2006
Ben Gordon,2732,2PT Running Jump Shot,42,26,TWO_POINT_JUMPERS,2006
Ben Gordon,2732,2PT Turnaround Jump Shot,3,2,TWO_POINT_JUMPERS,2006
Ben Gordon,2732,3PT Jump Shot,3,0,THREE_POINT_JUMPERS,2006
Ben Gordon,2732,Driving Dunk,1,1,DUNKS,2006
Ben Gordon,2732,Driving Layup,46,39,LAYUPS,2006
Ben Gordon,2732,Finger Roll,3,3,LAYUPS,2006
Ben Gordon,2732,Reverse Dunk,1,1,DUNKS,2006
Ben Gordon,2732,Reverse Layup,16,12,LAYUPS,2006
Ben Gordon,2732,Running Hook Shot,2,2,POST_MOVES,2006
Ben Gordon,2732,Standard Dunk,2,2,DUNKS,2006
Ben Gordon,2732,Standard Layup,128,32,LAYUPS,2006
Ben Gordon,2732,2PT Fadeaway Jump Shot,26,19,TWO_POINT_JUMPERS,2007
Ben Gordon,2732,2PT Jump Shot,1064,453,TWO_POINT_JUMPERS,2007
Ben Gordon,2732,2PT Running Jump Shot,39,30,TWO_POINT_JUMPERS,2007
Ben Gordon,2732,2PT Turnaround Jump Shot,9,5,TWO_POINT_JUMPERS,2007
Ben Gordon,2732,Driving Dunk,1,1,DUNKS,2007
Ben Gordon,2732,Driving Layup,60,42,LAYUPS,2007
Ben Gordon,2732,Finger Roll,2,2,LAYUPS,2007
Ben Gordon,2732,Reverse Layup,14,12,LAYUPS,2007
Ben Gordon,2732,Standard Dunk,2,2,DUNKS,2007
Ben Gordon,2732,Standard Layup,119,42,LAYUPS,2007
Ben Gordon,2732,Tip Shot,2,1,TIP_SHOTS,2007
Ben Gordon,2732,2PT Driving Jump Shot,2,2,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Fadeaway Jump Shot,21,15,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Floating Jump Shot,15,12,FLOATING_SHOTS,2008
Ben Gordon,2732,2PT Jump Shot,812,315,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Pullup Jump Shot,19,16,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Running Jump Shot,29,20,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Step Back Jump Shot,1,0,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,2PT Turnaround Jump Shot,8,7,TWO_POINT_JUMPERS,2008
Ben Gordon,2732,3PT Jump Shot,1,1,THREE_POINT_JUMPERS,2008
Ben Gordon,2732,Driving Layup,52,32,LAYUPS,2008
Ben Gordon,2732,Finger Roll,1,1,LAYUPS,2008
Ben Gordon,2732,Hook Shot,1,1,POST_MOVES,2008
Ben Gordon,2732,Reverse Layup,11,8,LAYUPS,2008
Ben Gordon,2732,Running Hook Shot,1,0,POST_MOVES,2008
Ben Gordon,2732,Standard Dunk,3,2,DUNKS,2008
Ben Gordon,2732,Standard Layup,91,32,LAYUPS,2008
Ben Gordon,2732,Tip Shot,1,0,TIP_SHOTS,2008
Ben Gordon,2732,2PT Driving Jump Shot,4,0,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Fadeaway Jump Shot,18,10,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Floating Jump Shot,16,12,FLOATING_SHOTS,2009
Ben Gordon,2732,2PT Jump Shot,917,371,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Pullup Jump Shot,36,26,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Running Jump Shot,49,34,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Step Back Jump Shot,4,1,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,2PT Turnaround Jump Shot,3,1,TWO_POINT_JUMPERS,2009
Ben Gordon,2732,Alley Oop Layup,1,0,LAYUPS,2009
Ben Gordon,2732,Driving Dunk,1,1,DUNKS,2009
Ben Gordon,2732,Driving Layup,87,60,LAYUPS,2009
Ben Gordon,2732,Finger Roll,9,6,LAYUPS,2009
Ben Gordon,2732,Hook Shot,1,1,POST_MOVES,2009
Ben Gordon,2732,Reverse Layup,12,10,LAYUPS,2009
Ben Gordon,2732,Running Hook Shot,1,1,POST_MOVES,2009
Ben Gordon,2732,Standard Dunk,8,8,DUNKS,2009
Ben Gordon,2732,Standard Layup,145,54,LAYUPS,2009
Ben Gordon,2732,Tip Shot,3,2,TIP_SHOTS,2009
Ben Gordon,2732,2PT Driving Jump Shot,3,1,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,2PT Fadeaway Jump Shot,19,7,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,2PT Floating Jump Shot,20,15,FLOATING_SHOTS,2010
Ben Gordon,2732,2PT Jump Shot,462,159,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,2PT Pullup Jump Shot,27,21,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,2PT Running Jump Shot,46,27,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,2PT Step Back Jump Shot,3,2,TWO_POINT_JUMPERS,2010
Ben Gordon,2732,Driving Layup,53,39,LAYUPS,2010
Ben Gordon,2732,Finger Roll,4,2,LAYUPS,2010
Ben Gordon,2732,Reverse Layup,4,1,LAYUPS,2010
Ben Gordon,2732,Standard Dunk,3,2,DUNKS,2010
Ben Gordon,2732,Standard Layup,53,14,LAYUPS,2010
Ben Gordon,2732,Tip Shot,2,1,TIP_SHOTS,2010
Ben Gordon,2732,2PT Fadeaway Jump Shot,13,7,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,2PT Floating Jump Shot,18,13,FLOATING_SHOTS,2011
Ben Gordon,2732,2PT Jump Shot,564,214,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,2PT Pullup Jump Shot,30,21,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,2PT Running Jump Shot,13,8,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,2PT Step Back Jump Shot,9,7,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,2PT Turnaround Jump Shot,4,2,TWO_POINT_JUMPERS,2011
Ben Gordon,2732,Driving Layup,41,34,LAYUPS,2011
Ben Gordon,2732,Finger Roll,4,2,LAYUPS,2011
Ben Gordon,2732,Hook Shot,1,0,POST_MOVES,2011
