PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Andray Blatche,101154,Driving Layup,2,1,1,LAYUPS,,2006
Andray Blatche,101154,Hook Shot,2,1,1,POST_MOVES,,2006
Andray Blatche,101154,Jump Shot,2,33,11,JUMP_SHOTS,,2006
Andray Blatche,101154,Jump Shot,3,13,3,JUMP_SHOTS,,2006
Andray Blatche,101154,Reverse Layup,2,1,1,LAYUPS,,2006
Andray Blatche,101154,Specialty Dunk,2,2,2,DUNKS,,2006
Andray Blatche,101154,Standard Dunk,2,2,2,DUNKS,,2006
Andray Blatche,101154,Standard Layup,2,12,4,LAYUPS,,2006
Andray Blatche,101154,Tip Shot,2,2,1,TIP_SHOTS,,2006
Andray Blatche,101154,Alley Oop Layup,2,1,1,LAYUPS,,2007
Andray Blatche,101154,Driving Dunk,2,3,3,DUNKS,,2007
Andray Blatche,101154,Driving Layup,2,10,8,LAYUPS,,2007
Andray Blatche,101154,Hook Shot,2,1,1,POST_MOVES,,2007
Andray Blatche,101154,Jump Shot,2,70,18,JUMP_SHOTS,,2007
Andray Blatche,101154,Jump Shot,3,27,4,JUMP_SHOTS,,2007
Andray Blatche,101154,Reverse Layup,2,2,2,LAYUPS,,2007
Andray Blatche,101154,Running Jump Shot,2,3,3,JUMP_SHOTS,,2007
Andray Blatche,101154,Specialty Dunk,2,4,4,DUNKS,,2007
Andray Blatche,101154,Standard Dunk,2,14,14,DUNKS,,2007
Andray Blatche,101154,Standard Layup,2,47,19,LAYUPS,,2007
Andray Blatche,101154,Tip Shot,2,13,9,TIP_SHOTS,,2007
Andray Blatche,101154,Turnaround Jump Shot,2,2,0,JUMP_SHOTS,,2007
Andray Blatche,101154,Alley Oop Dunk,2,1,1,DUNKS,,2008
Andray Blatche,101154,Driving Dunk,2,6,6,DUNKS,,2008
Andray Blatche,101154,Driving Hook Shot,2,5,2,POST_MOVES,,2008
Andray Blatche,101154,Driving Jump Shot,2,3,2,JUMP_SHOTS,,2008
Andray Blatche,101154,Driving Layup,2,15,14,LAYUPS,,2008
Andray Blatche,101154,Fadeaway Jump Shot,2,7,5,JUMP_SHOTS,,2008
Andray Blatche,101154,Finger Roll,2,11,9,LAYUPS,,2008
Andray Blatche,101154,Hook Shot,2,11,5,POST_MOVES,,2008
Andray Blatche,101154,Jump Shot,2,210,61,JUMP_SHOTS,,2008
Andray Blatche,101154,Jump Shot,3,13,3,JUMP_SHOTS,,2008
Andray Blatche,101154,Pullup Jump Shot,2,3,3,JUMP_SHOTS,,2008
Andray Blatche,101154,Putback Dunk,2,6,6,DUNKS,,2008
Andray Blatche,101154,Putback Layup,2,13,13,LAYUPS,,2008
Andray Blatche,101154,Reverse Dunk,2,2,1,DUNKS,,2008
Andray Blatche,101154,Reverse Layup,2,14,13,LAYUPS,,2008
Andray Blatche,101154,Running Hook Shot,2,4,2,POST_MOVES,,2008
Andray Blatche,101154,Running Jump Shot,2,8,6,JUMP_SHOTS,,2008
Andray Blatche,101154,Standard Dunk,2,26,23,DUNKS,,2008
Andray Blatche,101154,Standard Layup,2,147,58,LAYUPS,,2008
Andray Blatche,101154,Step Back Jump Shot,2,2,1,JUMP_SHOTS,,2008
Andray Blatche,101154,Tip Shot,2,20,16,TIP_SHOTS,,2008
Andray Blatche,101154,Turnaround Hook Shot,2,2,0,POST_MOVES,,2008
Andray Blatche,101154,Turnaround Jump Shot,2,7,4,JUMP_SHOTS,,2008
Andray Blatche,101154,Alley Oop Dunk,2,1,1,DUNKS,,2009
Andray Blatche,101154,Alley Oop Layup,2,1,0,LAYUPS,,2009
Andray Blatche,101154,Driving Dunk,2,7,7,DUNKS,,2009
Andray Blatche,101154,Driving Jump Shot,2,2,2,JUMP_SHOTS,,2009
Andray Blatche,101154,Driving Layup,2,21,18,LAYUPS,,2009
Andray Blatche,101154,Fadeaway Jump Shot,2,17,11,JUMP_SHOTS,,2009
Andray Blatche,101154,Finger Roll,2,10,10,LAYUPS,,2009
Andray Blatche,101154,Hook Shot,2,2,1,POST_MOVES,,2009
Andray Blatche,101154,Jump Shot,2,288,83,JUMP_SHOTS,,2009
Andray Blatche,101154,Jump Shot,3,20,4,JUMP_SHOTS,,2009
Andray Blatche,101154,Pullup Jump Shot,2,5,5,JUMP_SHOTS,,2009
Andray Blatche,101154,Putback Dunk,2,5,5,DUNKS,,2009
Andray Blatche,101154,Putback Layup,2,11,11,LAYUPS,,2009
Andray Blatche,101154,Reverse Dunk,2,4,3,DUNKS,,2009
Andray Blatche,101154,Reverse Layup,2,16,12,LAYUPS,,2009
Andray Blatche,101154,Running Hook Shot,2,1,1,POST_MOVES,,2009
Andray Blatche,101154,Running Jump Shot,2,8,5,JUMP_SHOTS,,2009
Andray Blatche,101154,Running Jump Shot,3,1,1,JUMP_SHOTS,,2009
Andray Blatche,101154,Standard Dunk,2,32,32,DUNKS,,2009
Andray Blatche,101154,Standard Layup,2,145,61,LAYUPS,,2009
Andray Blatche,101154,Step Back Jump Shot,2,3,3,JUMP_SHOTS,,2009
Andray Blatche,101154,Tip Shot,2,13,9,TIP_SHOTS,,2009
Andray Blatche,101154,Turnaround Jump Shot,2,17,12,JUMP_SHOTS,,2009
Andray Blatche,101154,Alley Oop Dunk,2,4,3,DUNKS,,2010
Andray Blatche,101154,Alley Oop Layup,2,1,0,LAYUPS,,2010
Andray Blatche,101154,Driving Dunk,2,14,14,DUNKS,,2010
Andray Blatche,101154,Driving Jump Shot,2,3,3,JUMP_SHOTS,,2010
Andray Blatche,101154,Driving Layup,2,51,36,LAYUPS,,2010
Andray Blatche,101154,Fadeaway Jump Shot,2,50,42,JUMP_SHOTS,,2010
Andray Blatche,101154,Finger Roll,2,3,3,LAYUPS,,2010
Andray Blatche,101154,Floating Jump Shot,2,3,3,FLOATING_SHOTS,,2010
