PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Nikola Mirotic,202703,Driving Layup Shot,2PT Field Goal,1,0,LAYUPS,0.0,2015
Nikola Mirotic,202703,Dunk Shot,2PT Field Goal,1,1,DUNKS,1.0,2015
Nikola Mirotic,202703,Jump Shot,3PT Field Goal,3,0,JUMP_SHOTS,0.0,2015
Nikola Mirotic,202703,Turnaround Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS,0.0,2015
Nikola Mirotic,202703,Cutting Layup Shot,2PT Field Goal,1,1,LAYUPS,1.0,2016
Nikola Mirotic,202703,Driving Layup Shot,2PT Field Goal,1,1,LAYUPS,1.0,2016
Nikola Mirotic,202703,Jump Shot,3PT Field Goal,2,0,JUMP_SHOTS,0.0,2016
Nikola Mirotic,202703,Putback Dunk Shot,2PT Field Goal,1,1,DUNKS,1.0,2016
Nikola Mirotic,202703,Step Back Jump shot,2PT Field Goal,1,0,JUMP_SHOTS,0.0,2016
Nikola Mirotic,202703,Fadeaway Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS,0.0,2018
Nikola Mirotic,202703,Jump Shot,2PT Field Goal,1,1,JUMP_SHOTS,1.0,2018
Nikola Mirotic,202703,Jump Shot,3PT Field Goal,2,1,JUMP_SHOTS,0.75,2018
Nikola Mirotic,202703,Pullup Jump shot,2PT Field Goal,1,1,JUMP_SHOTS,1.0,2018
Nikola Mirotic,202703,Step Back Jump shot,3PT Field Goal,1,0,JUMP_SHOTS,0.0,2018
Nikola Mirotic,202703,Cutting Layup Shot,2PT Field Goal,1,1,LAYUPS,1.0,2019
Nikola Mirotic,202703,Hook Shot,2PT Field Goal,1,1,POST_MOVES,1.0,2019
Nikola Mirotic,202703,Jump Shot,2PT Field Goal,2,1,JUMP_SHOTS,0.5,2019
Nikola Mirotic,202703,Jump Shot,3PT Field Goal,15,5,JUMP_SHOTS,0.5,2019
Nikola Mirotic,202703,Pullup Jump shot,3PT Field Goal,1,0,JUMP_SHOTS,0.0,2019
Nikola Mirotic,202703,Step Back Jump shot,2PT Field Goal,1,0,JUMP_SHOTS,0.0,2019
Nikola Mirotic,202703,Tip Layup Shot,2PT Field Goal,1,0,LAYUPS,0.0,2019
