PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Deni Avdija,1630166,2PT Fadeaway Jump Shot,1,0,TWO_POINT_JUMPERS,2021
Deni Avdija,1630166,2PT Floating Jump Shot,11,5,FLOATING_SHOTS,2021
Deni Avdija,1630166,2PT Jump Shot,4,3,TWO_POINT_JUMPERS,2021
Deni Avdija,1630166,2PT Pullup Jump Shot,13,2,TWO_POINT_JUMPERS,2021
Deni Avdija,1630166,2PT Step Back Jump Shot,2,2,TWO_POINT_JUMPERS,2021
Deni Avdija,1630166,2PT Turnaround Jump Shot,2,1,TWO_POINT_JUMPERS,2021
Deni Avdija,1630166,3PT Jump Shot,160,50,THREE_POINT_JUMPERS,2021
Deni Avdija,1630166,3PT Pullup Jump Shot,2,1,THREE_POINT_JUMPERS,2021
Deni Avdija,1630166,3PT Running Jump Shot,3,1,THREE_POINT_JUMPERS,2021
Deni Avdija,1630166,3PT Step Back Jump Shot,3,1,THREE_POINT_JUMPERS,2021
Deni Avdija,1630166,Alley Oop Dunk,1,1,DUNKS,2021
Deni Avdija,1630166,Alley Oop Layup,2,2,LAYUPS,2021
Deni Avdija,1630166,Driving Dunk,5,4,DUNKS,2021
Deni Avdija,1630166,Driving Hook Shot,2,0,POST_MOVES,2021
Deni Avdija,1630166,Driving Layup,24,14,LAYUPS,2021
Deni Avdija,1630166,Finger Roll,12,7,LAYUPS,2021
Deni Avdija,1630166,Hook Shot,1,0,POST_MOVES,2021
Deni Avdija,1630166,Putback Layup,4,2,LAYUPS,2021
Deni Avdija,1630166,Reverse Dunk,1,1,DUNKS,2021
Deni Avdija,1630166,Reverse Layup,3,3,LAYUPS,2021
Deni Avdija,1630166,Specialty Dunk,2,1,DUNKS,2021
Deni Avdija,1630166,Standard Dunk,6,4,DUNKS,2021
Deni Avdija,1630166,Standard Layup,47,25,LAYUPS,2021
Deni Avdija,1630166,Turnaround Hook Shot,1,0,POST_MOVES,2021
Deni Avdija,1630166,2PT Fadeaway Jump Shot,1,0,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,2PT Floating Jump Shot,41,20,FLOATING_SHOTS,2022
Deni Avdija,1630166,2PT Jump Shot,14,5,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,2PT Pullup Jump Shot,20,8,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,2PT Step Back Jump Shot,2,1,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,2PT Turnaround Jump Shot,4,1,TWO_POINT_JUMPERS,2022
Deni Avdija,1630166,3PT Jump Shot,233,72,THREE_POINT_JUMPERS,2022
Deni Avdija,1630166,3PT Pullup Jump Shot,12,3,THREE_POINT_JUMPERS,2022
Deni Avdija,1630166,3PT Running Jump Shot,7,3,THREE_POINT_JUMPERS,2022
Deni Avdija,1630166,3PT Step Back Jump Shot,7,4,THREE_POINT_JUMPERS,2022
Deni Avdija,1630166,Driving Dunk,4,1,DUNKS,2022
Deni Avdija,1630166,Driving Hook Shot,2,2,POST_MOVES,2022
Deni Avdija,1630166,Driving Layup,74,33,LAYUPS,2022
Deni Avdija,1630166,Finger Roll,32,24,LAYUPS,2022
Deni Avdija,1630166,Hook Shot,3,1,POST_MOVES,2022
Deni Avdija,1630166,Putback Layup,13,9,LAYUPS,2022
Deni Avdija,1630166,Reverse Layup,6,3,LAYUPS,2022
Deni Avdija,1630166,Specialty Dunk,1,0,DUNKS,2022
Deni Avdija,1630166,Standard Dunk,8,6,DUNKS,2022
Deni Avdija,1630166,Standard Layup,91,53,LAYUPS,2022
Deni Avdija,1630166,Turnaround Hook Shot,3,1,POST_MOVES,2022
Deni Avdija,1630166,2PT Fadeaway Jump Shot,3,2,TWO_POINT_JUMPERS,2023
Deni Avdija,1630166,2PT Floating Jump Shot,50,17,FLOATING_SHOTS,2023
Deni Avdija,1630166,2PT Jump Shot,6,2,TWO_POINT_JUMPERS,2023
Deni Avdija,1630166,2PT Pullup Jump Shot,15,6,TWO_POINT_JUMPERS,2023
Deni Avdija,1630166,2PT Step Back Jump Shot,1,0,TWO_POINT_JUMPERS,2023
Deni Avdija,1630166,2PT Turnaround Jump Shot,7,2,TWO_POINT_JUMPERS,2023
Deni Avdija,1630166,3PT Jump Shot,191,56,THREE_POINT_JUMPERS,2023
Deni Avdija,1630166,3PT Pullup Jump Shot,22,9,THREE_POINT_JUMPERS,2023
Deni Avdija,1630166,3PT Running Jump Shot,7,4,THREE_POINT_JUMPERS,2023
Deni Avdija,1630166,3PT Step Back Jump Shot,12,0,THREE_POINT_JUMPERS,2023
Deni Avdija,1630166,Alley Oop Dunk,2,1,DUNKS,2023
Deni Avdija,1630166,Alley Oop Layup,2,1,LAYUPS,2023
Deni Avdija,1630166,Driving Dunk,11,10,DUNKS,2023
Deni Avdija,1630166,Driving Hook Shot,3,3,POST_MOVES,2023
Deni Avdija,1630166,Driving Layup,79,40,LAYUPS,2023
Deni Avdija,1630166,Finger Roll,41,30,LAYUPS,2023
Deni Avdija,1630166,Hook Shot,2,1,POST_MOVES,2023
Deni Avdija,1630166,Putback Layup,37,13,LAYUPS,2023
Deni Avdija,1630166,Reverse Layup,9,5,LAYUPS,2023
Deni Avdija,1630166,Specialty Dunk,4,4,DUNKS,2023
Deni Avdija,1630166,Standard Dunk,16,14,DUNKS,2023
Deni Avdija,1630166,Standard Layup,58,33,LAYUPS,2023
Deni Avdija,1630166,Turnaround Hook Shot,1,0,POST_MOVES,2023
Deni Avdija,1630166,2PT Fadeaway Jump Shot,9,3,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,2PT Floating Jump Shot,80,29,FLOATING_SHOTS,2024
Deni Avdija,1630166,2PT Jump Shot,9,4,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,2PT Pullup Jump Shot,24,7,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,2PT Running Jump Shot,2,0,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,2PT Step Back Jump Shot,9,4,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,2PT Turnaround Jump Shot,15,5,TWO_POINT_JUMPERS,2024
Deni Avdija,1630166,3PT Floating Jump Shot,1,0,FLOATING_SHOTS,2024
Deni Avdija,1630166,3PT Jump Shot,163,63,THREE_POINT_JUMPERS,2024
Deni Avdija,1630166,3PT Pullup Jump Shot,25,8,THREE_POINT_JUMPERS,2024
Deni Avdija,1630166,3PT Running Jump Shot,12,5,THREE_POINT_JUMPERS,2024
Deni Avdija,1630166,3PT Step Back Jump Shot,34,12,THREE_POINT_JUMPERS,2024
Deni Avdija,1630166,Alley Oop Layup,2,2,LAYUPS,2024
Deni Avdija,1630166,Driving Dunk,13,12,DUNKS,2024
Deni Avdija,1630166,Driving Hook Shot,4,1,POST_MOVES,2024
Deni Avdija,1630166,Driving Layup,157,95,LAYUPS,2024
Deni Avdija,1630166,Finger Roll,66,48,LAYUPS,2024
Deni Avdija,1630166,Hook Shot,2,1,POST_MOVES,2024
Deni Avdija,1630166,Putback Layup,38,19,LAYUPS,2024
Deni Avdija,1630166,Reverse Dunk,1,1,DUNKS,2024
Deni Avdija,1630166,Reverse Layup,6,5,LAYUPS,2024
Deni Avdija,1630166,Specialty Dunk,8,7,DUNKS,2024
Deni Avdija,1630166,Standard Dunk,24,22,DUNKS,2024
Deni Avdija,1630166,Standard Layup,96,51,LAYUPS,2024
Deni Avdija,1630166,Turnaround Hook Shot,3,2,POST_MOVES,2024
Deni Avdija,1630166,2PT Fadeaway Jump Shot,5,3,TWO_POINT_JUMPERS,2025
Deni Avdija,1630166,2PT Floating Jump Shot,39,14,FLOATING_SHOTS,2025
Deni Avdija,1630166,2PT Jump Shot,6,1,TWO_POINT_JUMPERS,2025
