PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Cheikh Samb,200798,Jump Shot,2,3,2,Jump Shot,JUMP_SHOTS,,2008
Cheikh Samb,200798,Standard Layup,2,1,1,Layup Shot,LAYUPS,,2008
Cheikh Samb,200798,Hook Shot,2,1,0,Jump Hook Shot,POST_MOVES,,2009
Cheikh Samb,200798,Jump Shot,2,20,3,Jump Shot,JUMP_SHOTS,,2009
Cheikh Samb,200798,Standard Layup,2,5,0,Layup Shot,LAYUPS,,2009
Cheikh Samb,200798,Putback Layup,2,1,1,Putback Layup Shot,LAYUPS,,2009
Cheikh Samb,200798,Running Jump Shot,2,1,0,Running Jump Shot,JUMP_SHOTS,,2009
Cheikh Samb,200798,Tip Shot,2,2,1,Tip Shot,TIP_SHOTS,,2009
Cheikh Samb,200798,Turnaround Jump Shot,2,2,1,Turnaround Jump Shot,JUMP_SHOTS,,2009
