PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Jake LaRavia,1631222,Alley Oop Layup,2,1,0,Alley Oop Layup shot,LAYUPS,,2023
Jake LaRavia,1631222,Specialty Dunk,2,1,1,Cutting Dunk Shot,DUNKS,,2023
Jake LaRavia,1631222,Standard Layup,2,1,1,Cutting Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Driving Dunk,2,1,1,Driving Dunk Shot,DUNKS,,2023
Jake LaRavia,1631222,Finger Roll,2,1,1,Driving Finger Roll Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Floating Jump Shot,2,2,0,Driving Floating Bank Jump Shot,FLOATING_SHOTS,,2023
Jake LaRavia,1631222,Floating Jump Shot,2,1,1,Driving Floating Jump Shot,FLOATING_SHOTS,,2023
Jake LaRavia,1631222,Driving Hook Shot,2,1,1,Driving Hook Shot,POST_MOVES,,2023
Jake LaRavia,1631222,Driving Layup,2,4,1,Driving Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Hook Shot,2,1,1,Hook Bank Shot,POST_MOVES,,2023
Jake LaRavia,1631222,Jump Shot,2,1,0,Jump Bank Shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Jump Shot,2,58,22,Jump Shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Standard Layup,2,2,0,Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Pullup Jump Shot,2,3,1,Pullup Jump shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Alley Oop Layup,2,1,1,Running Alley Oop Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Standard Dunk,2,2,1,Running Dunk Shot,DUNKS,,2023
Jake LaRavia,1631222,Running Jump Shot,2,2,0,Running Jump Shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Standard Layup,2,1,1,Running Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Running Jump Shot,2,2,0,Running Pull-Up Jump Shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Step Back Jump Shot,2,6,1,Step Back Jump shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Putback Layup,2,1,0,Tip Layup Shot,LAYUPS,,2023
Jake LaRavia,1631222,Turnaround Hook Shot,2,1,1,Turnaround Hook Shot,POST_MOVES,,2023
Jake LaRavia,1631222,Turnaround Jump Shot,2,1,1,Turnaround Jump Shot,JUMP_SHOTS,,2023
Jake LaRavia,1631222,Alley Oop Layup,2,2,1,Alley Oop Layup shot,LAYUPS,,2024
Jake LaRavia,1631222,Specialty Dunk,2,2,2,Cutting Dunk Shot,DUNKS,,2024
Jake LaRavia,1631222,Standard Layup,2,4,1,Cutting Layup Shot,LAYUPS,,2024
Jake LaRavia,1631222,Driving Hook Shot,2,3,0,Driving Bank Hook Shot,POST_MOVES,,2024
