PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Pelle Larsson,1641796,2PT Floating Jump Shot,2,1,FLOATING_SHOTS,2025
Pelle Larsson,1641796,2PT Jump Shot,1,0,TWO_POINT_JUMPERS,2025
Pelle Larsson,1641796,2PT Turnaround Jump Shot,1,1,TWO_POINT_JUMPERS,2025
Pelle Larsson,1641796,3PT Jump Shot,31,10,THREE_POINT_JUMPERS,2025
Pelle Larsson,1641796,3PT Pullup Jump Shot,1,0,THREE_POINT_JUMPERS,2025
Pelle Larsson,1641796,3PT Running Jump Shot,2,1,THREE_POINT_JUMPERS,2025
Pelle Larsson,1641796,3PT Step Back Jump Shot,1,0,THREE_POINT_JUMPERS,2025
Pelle Larsson,1641796,Alley Oop Layup,1,1,LAYUPS,2025
Pelle Larsson,1641796,Driving Layup,9,6,LAYUPS,2025
Pelle Larsson,1641796,Finger Roll,6,3,LAYUPS,2025
Pelle Larsson,1641796,Putback Layup,6,2,LAYUPS,2025
Pelle Larsson,1641796,Reverse Layup,2,1,LAYUPS,2025
Pelle Larsson,1641796,Specialty Dunk,1,1,DUNKS,2025
Pelle Larsson,1641796,Standard Dunk,1,1,DUNKS,2025
Pelle Larsson,1641796,Standard Layup,11,8,LAYUPS,2025
