PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Kawhi Leonard,202695,2PT Fadeaway Jump Shot,1,1,TWO_POINT_JUMPERS,2012
Kawhi Leonard,202695,2PT Floating Jump Shot,7,5,FLOATING_SHOTS,2012
Kawhi Leonard,202695,2PT Jump Shot,14,4,TWO_POINT_JUMPERS,2012
Kawhi Leonard,202695,2PT Running Jump Shot,1,1,TWO_POINT_JUMPERS,2012
Kawhi Leonard,202695,3PT Jump Shot,40,18,THREE_POINT_JUMPERS,2012
Kawhi Leonard,202695,Driving Layup,2,1,LAYUPS,2012
Kawhi Leonard,202695,Reverse Layup,1,1,LAYUPS,2012
Kawhi Leonard,202695,Standard Dunk,6,5,DUNKS,2012
Kawhi Leonard,202695,Standard Layup,18,9,LAYUPS,2012
Kawhi Leonard,202695,2PT Driving Jump Shot,4,3,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Fadeaway Jump Shot,2,1,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Floating Jump Shot,2,1,FLOATING_SHOTS,2013
Kawhi Leonard,202695,2PT Jump Shot,48,20,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Pullup Jump Shot,15,9,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Running Jump Shot,1,1,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Step Back Jump Shot,1,0,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,2PT Turnaround Jump Shot,6,4,TWO_POINT_JUMPERS,2013
Kawhi Leonard,202695,3PT Jump Shot,56,21,THREE_POINT_JUMPERS,2013
Kawhi Leonard,202695,3PT Pullup Jump Shot,3,2,THREE_POINT_JUMPERS,2013
Kawhi Leonard,202695,Alley Oop Dunk,1,1,DUNKS,2013
Kawhi Leonard,202695,Driving Dunk,5,4,DUNKS,2013
Kawhi Leonard,202695,Driving Layup,13,8,LAYUPS,2013
Kawhi Leonard,202695,Finger Roll,1,1,LAYUPS,2013
Kawhi Leonard,202695,Hook Shot,3,2,POST_MOVES,2013
Kawhi Leonard,202695,Reverse Layup,7,4,LAYUPS,2013
Kawhi Leonard,202695,Standard Dunk,8,8,DUNKS,2013
Kawhi Leonard,202695,Standard Layup,31,21,LAYUPS,2013
Kawhi Leonard,202695,Tip Shot,4,4,TIP_SHOTS,2013
Kawhi Leonard,202695,2PT Driving Jump Shot,4,2,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Fadeaway Jump Shot,1,0,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Floating Jump Shot,2,0,FLOATING_SHOTS,2014
Kawhi Leonard,202695,2PT Jump Shot,57,23,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Pullup Jump Shot,18,11,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Running Jump Shot,9,4,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Step Back Jump Shot,3,2,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,2PT Turnaround Jump Shot,11,4,TWO_POINT_JUMPERS,2014
Kawhi Leonard,202695,3PT Jump Shot,74,31,THREE_POINT_JUMPERS,2014
Kawhi Leonard,202695,Alley Oop Dunk,1,1,DUNKS,2014
Kawhi Leonard,202695,Driving Dunk,1,1,DUNKS,2014
Kawhi Leonard,202695,Driving Layup,13,11,LAYUPS,2014
Kawhi Leonard,202695,Finger Roll,2,2,LAYUPS,2014
Kawhi Leonard,202695,Hook Shot,2,2,POST_MOVES,2014
Kawhi Leonard,202695,Putback Dunk,1,1,DUNKS,2014
Kawhi Leonard,202695,Putback Layup,2,1,LAYUPS,2014
Kawhi Leonard,202695,Reverse Layup,4,3,LAYUPS,2014
Kawhi Leonard,202695,Standard Dunk,13,13,DUNKS,2014
Kawhi Leonard,202695,Standard Layup,16,7,LAYUPS,2014
Kawhi Leonard,202695,Tip Shot,1,0,TIP_SHOTS,2014
Kawhi Leonard,202695,Turnaround Hook Shot,4,3,POST_MOVES,2014
