PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Jordan Farmar,200770,2PT Fadeaway Jump Shot,2,1,TWO_POINT_JUMPERS,2007
Jordan Farmar,200770,2PT Jump Shot,180,62,TWO_POINT_JUMPERS,2007
Jordan Farmar,200770,2PT Running Jump Shot,6,3,TWO_POINT_JUMPERS,2007
Jordan Farmar,200770,2PT Turnaround Jump Shot,3,3,TWO_POINT_JUMPERS,2007
Jordan Farmar,200770,3PT Jump Shot,14,4,THREE_POINT_JUMPERS,2007
Jordan Farmar,200770,Driving Dunk,1,1,DUNKS,2007
Jordan Farmar,200770,Driving Layup,27,20,LAYUPS,2007
Jordan Farmar,200770,Finger Roll,1,0,LAYUPS,2007
Jordan Farmar,200770,Hook Shot,1,1,POST_MOVES,2007
Jordan Farmar,200770,Reverse Layup,4,3,LAYUPS,2007
Jordan Farmar,200770,Running Hook Shot,2,1,POST_MOVES,2007
Jordan Farmar,200770,Standard Dunk,2,2,DUNKS,2007
Jordan Farmar,200770,Standard Layup,51,23,LAYUPS,2007
Jordan Farmar,200770,2PT Driving Jump Shot,1,1,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Fadeaway Jump Shot,9,8,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Floating Jump Shot,3,1,FLOATING_SHOTS,2008
Jordan Farmar,200770,2PT Jump Shot,380,134,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Pullup Jump Shot,10,9,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Running Jump Shot,11,10,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Step Back Jump Shot,2,1,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,2PT Turnaround Jump Shot,3,2,TWO_POINT_JUMPERS,2008
Jordan Farmar,200770,3PT Jump Shot,32,13,THREE_POINT_JUMPERS,2008
Jordan Farmar,200770,3PT Running Jump Shot,1,1,THREE_POINT_JUMPERS,2008
Jordan Farmar,200770,Alley Oop Layup,4,4,LAYUPS,2008
Jordan Farmar,200770,Driving Dunk,7,6,DUNKS,2008
Jordan Farmar,200770,Driving Layup,62,48,LAYUPS,2008
Jordan Farmar,200770,Finger Roll,6,5,LAYUPS,2008
Jordan Farmar,200770,Hook Shot,2,1,POST_MOVES,2008
Jordan Farmar,200770,Reverse Layup,9,8,LAYUPS,2008
Jordan Farmar,200770,Standard Dunk,5,5,DUNKS,2008
Jordan Farmar,200770,Standard Layup,82,34,LAYUPS,2008
Jordan Farmar,200770,Tip Shot,2,0,TIP_SHOTS,2008
Jordan Farmar,200770,2PT Fadeaway Jump Shot,3,1,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,2PT Floating Jump Shot,1,1,FLOATING_SHOTS,2009
Jordan Farmar,200770,2PT Jump Shot,195,60,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,2PT Pullup Jump Shot,4,3,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,2PT Running Jump Shot,19,10,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,2PT Step Back Jump Shot,2,2,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,2PT Turnaround Jump Shot,2,1,TWO_POINT_JUMPERS,2009
Jordan Farmar,200770,3PT Jump Shot,49,12,THREE_POINT_JUMPERS,2009
Jordan Farmar,200770,Alley Oop Dunk,3,2,DUNKS,2009
Jordan Farmar,200770,Alley Oop Layup,4,2,LAYUPS,2009
Jordan Farmar,200770,Driving Dunk,5,5,DUNKS,2009
Jordan Farmar,200770,Driving Layup,41,27,LAYUPS,2009
Jordan Farmar,200770,Finger Roll,6,5,LAYUPS,2009
Jordan Farmar,200770,Reverse Layup,4,3,LAYUPS,2009
Jordan Farmar,200770,Standard Dunk,3,2,DUNKS,2009
Jordan Farmar,200770,Standard Layup,68,25,LAYUPS,2009
Jordan Farmar,200770,Tip Shot,3,0,TIP_SHOTS,2009
Jordan Farmar,200770,2PT Fadeaway Jump Shot,11,8,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,2PT Floating Jump Shot,4,1,FLOATING_SHOTS,2010
Jordan Farmar,200770,2PT Jump Shot,326,115,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,2PT Pullup Jump Shot,16,10,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,2PT Running Jump Shot,10,5,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,2PT Step Back Jump Shot,3,3,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,2PT Turnaround Jump Shot,4,1,TWO_POINT_JUMPERS,2010
Jordan Farmar,200770,3PT Jump Shot,6,2,THREE_POINT_JUMPERS,2010
Jordan Farmar,200770,Alley Oop Dunk,1,0,DUNKS,2010
Jordan Farmar,200770,Alley Oop Layup,3,3,LAYUPS,2010
Jordan Farmar,200770,Driving Dunk,5,5,DUNKS,2010
Jordan Farmar,200770,Driving Layup,56,41,LAYUPS,2010
Jordan Farmar,200770,Finger Roll,1,0,LAYUPS,2010
Jordan Farmar,200770,Reverse Layup,8,5,LAYUPS,2010
Jordan Farmar,200770,Standard Dunk,5,5,DUNKS,2010
Jordan Farmar,200770,Standard Layup,54,20,LAYUPS,2010
Jordan Farmar,200770,Tip Shot,2,0,TIP_SHOTS,2010
Jordan Farmar,200770,2PT Driving Jump Shot,7,2,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Fadeaway Jump Shot,10,2,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Floating Jump Shot,4,2,FLOATING_SHOTS,2011
Jordan Farmar,200770,2PT Jump Shot,275,95,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Pullup Jump Shot,8,3,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Running Jump Shot,17,2,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Step Back Jump Shot,2,1,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,2PT Turnaround Jump Shot,3,1,TWO_POINT_JUMPERS,2011
Jordan Farmar,200770,3PT Jump Shot,155,51,THREE_POINT_JUMPERS,2011
Jordan Farmar,200770,3PT Pullup Jump Shot,5,4,THREE_POINT_JUMPERS,2011
Jordan Farmar,200770,Driving Dunk,3,2,DUNKS,2011
Jordan Farmar,200770,Driving Hook Shot,2,0,POST_MOVES,2011
Jordan Farmar,200770,Driving Layup,90,58,LAYUPS,2011
Jordan Farmar,200770,Finger Roll,15,9,LAYUPS,2011
Jordan Farmar,200770,Putback Layup,2,1,LAYUPS,2011
Jordan Farmar,200770,Reverse Layup,3,2,LAYUPS,2011
Jordan Farmar,200770,Running Hook Shot,1,0,POST_MOVES,2011
Jordan Farmar,200770,Standard Dunk,3,2,DUNKS,2011
Jordan Farmar,200770,Standard Layup,46,18,LAYUPS,2011
Jordan Farmar,200770,2PT Driving Jump Shot,2,0,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,2PT Fadeaway Jump Shot,5,0,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,2PT Floating Jump Shot,2,2,FLOATING_SHOTS,2012
Jordan Farmar,200770,2PT Jump Shot,197,78,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,2PT Pullup Jump Shot,4,4,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,2PT Running Jump Shot,12,5,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,2PT Turnaround Jump Shot,3,2,TWO_POINT_JUMPERS,2012
Jordan Farmar,200770,3PT Jump Shot,5,2,THREE_POINT_JUMPERS,2012
Jordan Farmar,200770,Alley Oop Layup,1,0,LAYUPS,2012
Jordan Farmar,200770,Driving Dunk,2,2,DUNKS,2012
Jordan Farmar,200770,Driving Layup,46,31,LAYUPS,2012
Jordan Farmar,200770,Finger Roll,8,4,LAYUPS,2012
Jordan Farmar,200770,Reverse Layup,1,1,LAYUPS,2012
Jordan Farmar,200770,Standard Dunk,2,2,DUNKS,2012
Jordan Farmar,200770,Standard Layup,25,14,LAYUPS,2012
Jordan Farmar,200770,2PT Fadeaway Jump Shot,5,3,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,2PT Floating Jump Shot,5,2,FLOATING_SHOTS,2014
Jordan Farmar,200770,2PT Jump Shot,111,33,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,2PT Pullup Jump Shot,14,8,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,2PT Running Jump Shot,9,5,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,2PT Step Back Jump Shot,5,2,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,2PT Turnaround Jump Shot,1,1,TWO_POINT_JUMPERS,2014
Jordan Farmar,200770,3PT Jump Shot,128,56,THREE_POINT_JUMPERS,2014
Jordan Farmar,200770,3PT Pullup Jump Shot,2,1,THREE_POINT_JUMPERS,2014
Jordan Farmar,200770,3PT Step Back Jump Shot,1,1,THREE_POINT_JUMPERS,2014
Jordan Farmar,200770,Driving Layup,31,20,LAYUPS,2014
Jordan Farmar,200770,Finger Roll,6,5,LAYUPS,2014
Jordan Farmar,200770,Reverse Layup,5,2,LAYUPS,2014
Jordan Farmar,200770,Standard Dunk,2,2,DUNKS,2014
Jordan Farmar,200770,Standard Layup,37,8,LAYUPS,2014
Jordan Farmar,200770,Tip Shot,1,1,TIP_SHOTS,2014
Jordan Farmar,200770,2PT Fadeaway Jump Shot,1,0,TWO_POINT_JUMPERS,2015
Jordan Farmar,200770,2PT Floating Jump Shot,2,1,FLOATING_SHOTS,2015
Jordan Farmar,200770,2PT Jump Shot,56,16,TWO_POINT_JUMPERS,2015
Jordan Farmar,200770,2PT Pullup Jump Shot,4,3,TWO_POINT_JUMPERS,2015
Jordan Farmar,200770,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2015
Jordan Farmar,200770,2PT Turnaround Jump Shot,1,0,TWO_POINT_JUMPERS,2015
Jordan Farmar,200770,3PT Jump Shot,73,31,THREE_POINT_JUMPERS,2015
Jordan Farmar,200770,3PT Pullup Jump Shot,2,0,THREE_POINT_JUMPERS,2015
Jordan Farmar,200770,3PT Step Back Jump Shot,1,0,THREE_POINT_JUMPERS,2015
Jordan Farmar,200770,Driving Layup,7,6,LAYUPS,2015
Jordan Farmar,200770,Finger Roll,2,2,LAYUPS,2015
Jordan Farmar,200770,Standard Layup,8,2,LAYUPS,2015
Jordan Farmar,200770,2PT Floating Jump Shot,13,4,FLOATING_SHOTS,2016
Jordan Farmar,200770,2PT Jump Shot,19,4,TWO_POINT_JUMPERS,2016
Jordan Farmar,200770,2PT Pullup Jump Shot,18,10,TWO_POINT_JUMPERS,2016
Jordan Farmar,200770,2PT Running Jump Shot,3,1,TWO_POINT_JUMPERS,2016
Jordan Farmar,200770,2PT Step Back Jump Shot,2,1,TWO_POINT_JUMPERS,2016
Jordan Farmar,200770,3PT Jump Shot,21,10,THREE_POINT_JUMPERS,2016
Jordan Farmar,200770,3PT Step Back Jump Shot,3,1,THREE_POINT_JUMPERS,2016
Jordan Farmar,200770,Driving Layup,7,3,LAYUPS,2016
Jordan Farmar,200770,Finger Roll,5,2,LAYUPS,2016
Jordan Farmar,200770,Reverse Layup,2,2,LAYUPS,2016
Jordan Farmar,200770,Standard Layup,7,4,LAYUPS,2016
Jordan Farmar,200770,2PT Jump Shot,7,2,TWO_POINT_JUMPERS,2017
Jordan Farmar,200770,3PT Jump Shot,2,1,THREE_POINT_JUMPERS,2017
Jordan Farmar,200770,3PT Pullup Jump Shot,1,1,THREE_POINT_JUMPERS,2017
Jordan Farmar,200770,Driving Layup,1,0,LAYUPS,2017
Jordan Farmar,200770,Standard Layup,1,0,LAYUPS,2017
