PLAYER_NAME,PLAYER_ID,ACTION_TYPE,SHOT_TYPE,shot_count,shot_makes,shot_description,shot_group,year
Jamal Shead,1642347,Cutting Dunk Shot,2,1,0,Specialty Dunk,DUNKS,2025
Jamal Shead,1642347,Cutting Layup Shot,2,3,2,Standard Layup,LAYUPS,2025
Jamal Shead,1642347,Driving Finger Roll Layup Shot,2,4,2,Finger Roll,LAYUPS,2025
Jamal Shead,1642347,Driving Floating Bank Jump Shot,2,7,4,2PT Floating Jump Shot,FLOATING_SHOTS,2025
Jamal Shead,1642347,Driving Floating Jump Shot,2,31,18,2PT Floating Jump Shot,FLOATING_SHOTS,2025
Jamal Shead,1642347,Driving Hook Shot,2,1,0,Driving Hook Shot,POST_MOVES,2025
Jamal Shead,1642347,Driving Layup Shot,2,30,9,Driving Layup,LAYUPS,2025
Jamal Shead,1642347,Floating Jump shot,2,2,2,2PT Floating Jump Shot,FLOATING_SHOTS,2025
Jamal Shead,1642347,Jump Bank Shot,3,1,1,3PT Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Jump Shot,3,51,19,3PT Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Pullup Jump shot,2,13,4,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2025
Jamal Shead,1642347,Pullup Jump shot,3,12,3,3PT Pullup Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Running Dunk Shot,2,1,1,Standard Dunk,DUNKS,2025
Jamal Shead,1642347,Running Jump Shot,3,10,5,3PT Running Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Running Layup Shot,2,5,4,Standard Layup,LAYUPS,2025
Jamal Shead,1642347,Running Pull-Up Jump Shot,2,1,1,2PT Running Jump Shot,TWO_POINT_JUMPERS,2025
Jamal Shead,1642347,Running Pull-Up Jump Shot,3,3,0,3PT Running Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Running Reverse Layup Shot,2,1,1,Reverse Layup,LAYUPS,2025
Jamal Shead,1642347,Step Back Jump shot,2,1,0,2PT Step Back Jump Shot,TWO_POINT_JUMPERS,2025
Jamal Shead,1642347,Step Back Jump shot,3,4,2,3PT Step Back Jump Shot,THREE_POINT_JUMPERS,2025
Jamal Shead,1642347,Turnaround Jump Shot,2,1,1,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2025
