PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Devin Cannady,1629962,Floating Jump Shot,2,1,1,Driving Floating Jump Shot,FLOATING_SHOTS,,2021
Devin Cannady,1629962,Driving Layup,2,4,0,Driving Layup Shot,LAYUPS,,2021
Devin Cannady,1629962,Fadeaway Jump Shot,2,1,1,Fadeaway Jump Shot,JUMP_SHOTS,,2021
Devin Cannady,1629962,Floating Jump Shot,2,1,0,Floating Jump shot,FLOATING_SHOTS,,2021
Devin Cannady,1629962,Jump Shot,2,15,7,Jump Shot,JUMP_SHOTS,,2021
Devin Cannady,1629962,Pullup Jump Shot,2,3,2,Pullup Jump shot,JUMP_SHOTS,,2021
Devin Cannady,1629962,Running Jump Shot,2,2,0,Running Jump Shot,JUMP_SHOTS,,2021
Devin Cannady,1629962,Step Back Jump Shot,2,1,0,Step Back Jump shot,JUMP_SHOTS,,2021
Devin Cannady,1629962,Standard Layup,2,1,0,Cutting Layup Shot,LAYUPS,,2022
Devin Cannady,1629962,Driving Layup,2,1,0,Driving Layup Shot,LAYUPS,,2022
Devin Cannady,1629962,Jump Shot,2,31,13,Jump Shot,JUMP_SHOTS,,2022
Devin Cannady,1629962,Pullup Jump Shot,2,5,0,Pullup Jump shot,JUMP_SHOTS,,2022
Devin Cannady,1629962,Running Jump Shot,2,4,2,Running Jump Shot,JUMP_SHOTS,,2022
Devin Cannady,1629962,Step Back Jump Shot,2,1,0,Step Back Jump shot,JUMP_SHOTS,,2022
Devin Cannady,1629962,Turnaround Jump Shot,2,1,0,Turnaround Jump Shot,JUMP_SHOTS,,2022
