PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Petr Cornelie,1627822,Alley Oop Layup shot,2PT Field Goal,1,1,SPECIALTY_LAYUPS,1.0,2022
Petr Cornelie,1627822,Cutting Dunk Shot,2PT Field Goal,2,1,SPECIALTY_DUNKS,0.5,2022
Petr Cornelie,1627822,Dunk Shot,2PT Field Goal,1,1,BASIC_DUNKS,1.0,2022
Petr Cornelie,1627822,Hook Bank Shot,2PT Field Goal,1,1,BANK_HOOKS,1.0,2022
Petr Cornelie,1627822,Jump Shot,3PT Field Goal,3,0,STANDARD_JUMP_SHOTS,0.0,2022
Petr Cornelie,1627822,Step Back Jump shot,3PT Field Goal,1,0,STEP_BACK_JUMPERS,0.0,2022
