PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Walker Russell,201041,Driving Jump Shot,2PT Field Goal,1,1,Driving Bank shot,JUMP_SHOTS,1.0,2012
Walker Russell,201041,Finger Roll,2PT Field Goal,1,1,Driving Finger Roll Layup Shot,LAYUPS,1.0,2012
Walker Russell,201041,Driving Layup,2PT Field Goal,3,0,Driving Layup Shot,LAYUPS,0.0,2012
Walker Russell,201041,Driving Layup,2PT Field Goal,1,1,Driving Reverse Layup Shot,LAYUPS,1.0,2012
Walker Russell,201041,Floating Jump Shot,2PT Field Goal,2,0,Floating Jump shot,FLOATING_SHOTS,0.0,2012
Walker Russell,201041,Jump Shot,2PT Field Goal,5,0,Jump Shot,JUMP_SHOTS,0.0,2012
Walker Russell,201041,Jump Shot,3PT Field Goal,10,4,Jump Shot,JUMP_SHOTS,0.6,2012
Walker Russell,201041,Standard Layup,2PT Field Goal,5,1,Layup Shot,LAYUPS,0.2,2012
Walker Russell,201041,Pullup Jump Shot,2PT Field Goal,1,1,Pullup Jump shot,JUMP_SHOTS,1.0,2012
Walker Russell,201041,Running Hook Shot,2PT Field Goal,1,0,Running Hook Shot,POST_MOVES,0.0,2012
Walker Russell,201041,Standard Layup,2PT Field Goal,1,1,Running Layup Shot,LAYUPS,1.0,2012
