PLAYER_NAME,PLAYER_ID,ACTION_TYPE,SHOT_TYPE,shot_count,shot_makes,shot_description,shot_group,year
Jordan Hamilton,202706,Alley Oop Dunk Shot,2,1,1,Alley Oop Dunk,DUNKS,2012
Jordan Hamilton,202706,Driving Dunk Shot,2,1,1,Driving Dunk,DUNKS,2012
Jordan Hamilton,202706,Driving Jump shot,2,2,1,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Driving Layup Shot,2,4,3,Driving Layup,LAYUPS,2012
Jordan Hamilton,202706,Driving Reverse Layup Shot,2,1,1,Driving Layup,LAYUPS,2012
Jordan Hamilton,202706,Dunk Shot,2,2,2,Standard Dunk,DUNKS,2012
Jordan Hamilton,202706,Fadeaway Jump Shot,2,1,1,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Floating Jump shot,2,1,0,2PT Floating Jump Shot,FLOATING_SHOTS,2012
Jordan Hamilton,202706,Jump Bank Shot,2,2,2,2PT Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Jump Shot,2,73,25,2PT Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Layup Shot,2,8,3,Standard Layup,LAYUPS,2012
Jordan Hamilton,202706,Pullup Jump shot,2,1,1,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Putback Dunk Shot,2,1,1,Putback Dunk,DUNKS,2012
Jordan Hamilton,202706,Reverse Layup Shot,2,2,2,Reverse Layup,LAYUPS,2012
Jordan Hamilton,202706,Running Hook Shot,2,3,1,Running Hook Shot,POST_MOVES,2012
Jordan Hamilton,202706,Running Jump Shot,2,6,2,2PT Running Jump Shot,TWO_POINT_JUMPERS,2012
Jordan Hamilton,202706,Running Layup Shot,2,1,0,Standard Layup,LAYUPS,2012
Jordan Hamilton,202706,Tip Shot,2,1,1,Tip Shot,TIP_SHOTS,2012
Jordan Hamilton,202706,Alley Oop Dunk Shot,2,2,2,Alley Oop Dunk,DUNKS,2013
Jordan Hamilton,202706,Alley Oop Layup shot,2,1,1,Alley Oop Layup,LAYUPS,2013
Jordan Hamilton,202706,Driving Bank shot,2,3,1,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Driving Dunk Shot,2,2,2,Driving Dunk,DUNKS,2013
Jordan Hamilton,202706,Driving Finger Roll Layup Shot,2,3,3,Finger Roll,LAYUPS,2013
Jordan Hamilton,202706,Driving Jump shot,2,2,0,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Driving Layup Shot,2,13,6,Driving Layup,LAYUPS,2013
Jordan Hamilton,202706,Driving Reverse Layup Shot,2,1,1,Driving Layup,LAYUPS,2013
Jordan Hamilton,202706,Driving Slam Dunk Shot,2,1,1,Driving Dunk,DUNKS,2013
Jordan Hamilton,202706,Dunk Shot,2,1,1,Standard Dunk,DUNKS,2013
Jordan Hamilton,202706,Fadeaway Bank shot,2,1,1,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Floating Jump shot,2,4,3,2PT Floating Jump Shot,FLOATING_SHOTS,2013
Jordan Hamilton,202706,Hook Shot,2,1,0,Hook Shot,POST_MOVES,2013
Jordan Hamilton,202706,Jump Bank Shot,2,1,1,2PT Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Jump Hook Shot,2,1,1,Hook Shot,POST_MOVES,2013
Jordan Hamilton,202706,Jump Shot,2,110,32,2PT Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Layup Shot,2,18,10,Standard Layup,LAYUPS,2013
Jordan Hamilton,202706,Pullup Jump shot,2,2,2,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Putback Dunk Shot,2,1,1,Putback Dunk,DUNKS,2013
Jordan Hamilton,202706,Putback Layup Shot,2,4,4,Putback Layup,LAYUPS,2013
Jordan Hamilton,202706,Reverse Layup Shot,2,2,2,Reverse Layup,LAYUPS,2013
Jordan Hamilton,202706,Running Bank shot,2,3,3,2PT Running Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Running Jump Shot,2,12,3,2PT Running Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Running Layup Shot,2,1,0,Standard Layup,LAYUPS,2013
Jordan Hamilton,202706,Slam Dunk Shot,2,2,2,Standard Dunk,DUNKS,2013
Jordan Hamilton,202706,Step Back Jump shot,2,2,0,2PT Step Back Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Tip Shot,2,4,1,Tip Shot,TIP_SHOTS,2013
Jordan Hamilton,202706,Turnaround Jump Shot,2,3,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2013
Jordan Hamilton,202706,Alley Oop Dunk Shot,2,1,1,Alley Oop Dunk,DUNKS,2014
Jordan Hamilton,202706,Driving Bank shot,2,1,1,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Driving Finger Roll Layup Shot,2,1,1,Finger Roll,LAYUPS,2014
Jordan Hamilton,202706,Driving Jump shot,2,7,2,2PT Driving Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Driving Layup Shot,2,17,8,Driving Layup,LAYUPS,2014
Jordan Hamilton,202706,Driving Reverse Layup Shot,2,2,1,Driving Layup,LAYUPS,2014
Jordan Hamilton,202706,Driving Slam Dunk Shot,2,2,2,Driving Dunk,DUNKS,2014
Jordan Hamilton,202706,Dunk Shot,2,2,2,Standard Dunk,DUNKS,2014
Jordan Hamilton,202706,Fadeaway Bank shot,2,1,1,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Fadeaway Jump Shot,2,6,3,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Finger Roll Layup Shot,2,2,2,Finger Roll,LAYUPS,2014
Jordan Hamilton,202706,Floating Jump shot,2,4,4,2PT Floating Jump Shot,FLOATING_SHOTS,2014
Jordan Hamilton,202706,Jump Bank Shot,2,3,2,2PT Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Jump Shot,2,245,81,2PT Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Jump Shot,3,1,1,3PT Jump Shot,THREE_POINT_JUMPERS,2014
Jordan Hamilton,202706,Layup Shot,2,26,10,Standard Layup,LAYUPS,2014
Jordan Hamilton,202706,Pullup Jump shot,2,6,3,2PT Pullup Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Putback Dunk Shot,2,2,1,Putback Dunk,DUNKS,2014
Jordan Hamilton,202706,Putback Layup Shot,2,4,2,Putback Layup,LAYUPS,2014
Jordan Hamilton,202706,Reverse Layup Shot,2,3,3,Reverse Layup,LAYUPS,2014
Jordan Hamilton,202706,Running Bank shot,2,3,1,2PT Running Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Running Jump Shot,2,22,11,2PT Running Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Running Layup Shot,2,2,1,Standard Layup,LAYUPS,2014
Jordan Hamilton,202706,Slam Dunk Shot,2,1,1,Standard Dunk,DUNKS,2014
Jordan Hamilton,202706,Step Back Jump shot,2,6,2,2PT Step Back Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Tip Shot,2,2,0,Tip Shot,TIP_SHOTS,2014
Jordan Hamilton,202706,Turnaround Jump Shot,2,4,0,2PT Turnaround Jump Shot,TWO_POINT_JUMPERS,2014
Jordan Hamilton,202706,Driving Layup Shot,2,1,1,Driving Layup,LAYUPS,2015
Jordan Hamilton,202706,Fadeaway Jump Shot,2,1,0,2PT Fadeaway Jump Shot,TWO_POINT_JUMPERS,2015
Jordan Hamilton,202706,Floating Jump shot,2,1,0,2PT Floating Jump Shot,FLOATING_SHOTS,2015
Jordan Hamilton,202706,Jump Shot,2,26,11,2PT Jump Shot,TWO_POINT_JUMPERS,2015
Jordan Hamilton,202706,Layup Shot,2,1,1,Standard Layup,LAYUPS,2015
Jordan Hamilton,202706,Running Bank shot,2,1,0,2PT Running Jump Shot,TWO_POINT_JUMPERS,2015
Jordan Hamilton,202706,Running Jump Shot,2,1,0,2PT Running Jump Shot,TWO_POINT_JUMPERS,2015
Jordan Hamilton,202706,Running Layup Shot,2,1,0,Standard Layup,LAYUPS,2015
Jordan Hamilton,202706,Step Back Jump shot,2,2,1,2PT Step Back Jump Shot,TWO_POINT_JUMPERS,2015
Jordan Hamilton,202706,Alley Oop Dunk Shot,2,1,1,Alley Oop Dunk,DUNKS,2016
Jordan Hamilton,202706,Cutting Layup Shot,2,2,1,Standard Layup,LAYUPS,2016
Jordan Hamilton,202706,Driving Dunk Shot,2,1,1,Driving Dunk,DUNKS,2016
Jordan Hamilton,202706,Driving Finger Roll Layup Shot,2,3,1,Finger Roll,LAYUPS,2016
Jordan Hamilton,202706,Driving Layup Shot,2,9,7,Driving Layup,LAYUPS,2016
