PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Cason Wallace,1641717,Finger Roll,2PT Field Goal,1,1,LAYUPS,1.0,2024
Cason Wallace,1641717,Standard Layup,2PT Field Goal,5,4,LAYUPS,0.8,2024
Cason Wallace,1641717,Finger Roll,2PT Field Goal,1,1,LAYUPS,1.0,2024
Cason Wallace,1641717,Floating Jump Shot,2PT Field Goal,7,1,FLOATING_SHOTS,0.1428571428571428,2024
Cason Wallace,1641717,Driving Hook Shot,2PT Field Goal,1,1,POST_MOVES,1.0,2024
Cason Wallace,1641717,Driving Layup,2PT Field Goal,8,1,LAYUPS,0.125,2024
Cason Wallace,1641717,Fadeaway Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS,0.0,2024
Cason Wallace,1641717,Floating Jump Shot,2PT Field Goal,1,0,FLOATING_SHOTS,0.0,2024
Cason Wallace,1641717,Jump Shot,3PT Field Goal,37,13,JUMP_SHOTS,0.527027027027027,2024
Cason Wallace,1641717,Standard Layup,2PT Field Goal,4,2,LAYUPS,0.5,2024
Cason Wallace,1641717,Pullup Jump Shot,2PT Field Goal,5,2,JUMP_SHOTS,0.4,2024
Cason Wallace,1641717,Pullup Jump Shot,3PT Field Goal,2,1,JUMP_SHOTS,0.75,2024
Cason Wallace,1641717,Putback Layup,2PT Field Goal,1,0,LAYUPS,0.0,2024
Cason Wallace,1641717,Reverse Layup,2PT Field Goal,1,0,LAYUPS,0.0,2024
Cason Wallace,1641717,Standard Dunk,2PT Field Goal,2,2,DUNKS,1.0,2024
Cason Wallace,1641717,Running Jump Shot,3PT Field Goal,14,4,JUMP_SHOTS,0.4285714285714285,2024
Cason Wallace,1641717,Standard Layup,2PT Field Goal,4,3,LAYUPS,0.75,2024
Cason Wallace,1641717,Step Back Jump Shot,2PT Field Goal,1,1,JUMP_SHOTS,1.0,2024
Cason Wallace,1641717,Step Back Jump Shot,2PT Field Goal,6,6,JUMP_SHOTS,1.0,2024
Cason Wallace,1641717,Step Back Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS,0.0,2024
Cason Wallace,1641717,Putback Layup,2PT Field Goal,1,1,LAYUPS,1.0,2024
Cason Wallace,1641717,Specialty Dunk,2PT Field Goal,1,1,DUNKS,1.0,2025
Cason Wallace,1641717,Finger Roll,2PT Field Goal,6,5,LAYUPS,0.8333333333333334,2025
Cason Wallace,1641717,Floating Jump Shot,2PT Field Goal,4,2,FLOATING_SHOTS,0.5,2025
Cason Wallace,1641717,Driving Layup,2PT Field Goal,3,2,LAYUPS,0.6666666666666666,2025
Cason Wallace,1641717,Driving Layup,2PT Field Goal,1,0,LAYUPS,0.0,2025
Cason Wallace,1641717,Floating Jump Shot,2PT Field Goal,2,0,FLOATING_SHOTS,0.0,2025
Cason Wallace,1641717,Jump Shot,2PT Field Goal,1,1,JUMP_SHOTS,1.0,2025
Cason Wallace,1641717,Jump Shot,3PT Field Goal,22,10,JUMP_SHOTS,0.6818181818181818,2025
Cason Wallace,1641717,Pullup Jump Shot,2PT Field Goal,3,0,JUMP_SHOTS,0.0,2025
Cason Wallace,1641717,Pullup Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS,0.0,2025
Cason Wallace,1641717,Reverse Layup,2PT Field Goal,2,2,LAYUPS,1.0,2025
Cason Wallace,1641717,Standard Dunk,2PT Field Goal,1,1,DUNKS,1.0,2025
Cason Wallace,1641717,Running Jump Shot,3PT Field Goal,3,1,JUMP_SHOTS,0.5,2025
Cason Wallace,1641717,Standard Layup,2PT Field Goal,6,4,LAYUPS,0.6666666666666666,2025
Cason Wallace,1641717,Step Back Jump Shot,3PT Field Goal,2,0,JUMP_SHOTS,0.0,2025
