PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Sam Cassell,208,Driving Layup,2,92,72,LAYUPS,,1997
Sam Cassell,208,Hook Shot,2,2,2,POST_MOVES,,1997
Sam Cassell,208,Jump Shot,2,451,165,JUMP_SHOTS,,1997
Sam Cassell,208,Jump Shot,3,102,36,JUMP_SHOTS,,1997
Sam Cassell,208,Running Jump Shot,2,31,16,JUMP_SHOTS,,1997
Sam Cassell,208,Standard Dunk,2,1,1,DUNKS,,1997
Sam Cassell,208,Standard Layup,2,103,44,LAYUPS,,1997
Sam Cassell,208,Tip Shot,2,1,1,TIP_SHOTS,,1997
Sam Cassell,208,Driving Layup,2,153,100,LAYUPS,,1998
Sam Cassell,208,Hook Shot,2,3,3,POST_MOVES,,1998
Sam Cassell,208,Jump Shot,2,824,334,JUMP_SHOTS,,1998
Sam Cassell,208,Jump Shot,3,23,3,JUMP_SHOTS,,1998
Sam Cassell,208,Running Jump Shot,2,53,25,JUMP_SHOTS,,1998
Sam Cassell,208,Standard Dunk,2,2,2,DUNKS,,1998
Sam Cassell,208,Standard Layup,2,94,42,LAYUPS,,1998
Sam Cassell,208,Tip Shot,2,4,1,TIP_SHOTS,,1998
Sam Cassell,208,Driving Layup,2,9,8,LAYUPS,,1999
Sam Cassell,208,Jump Shot,2,73,28,JUMP_SHOTS,,1999
Sam Cassell,208,Jump Shot,3,1,0,JUMP_SHOTS,,1999
Sam Cassell,208,Standard Layup,2,10,3,LAYUPS,,1999
Sam Cassell,208,Driving Layup,2,51,35,LAYUPS,,2000
Sam Cassell,208,Jump Shot,2,905,395,JUMP_SHOTS,,2000
Sam Cassell,208,Jump Shot,3,39,17,JUMP_SHOTS,,2000
Sam Cassell,208,Running Jump Shot,2,30,20,JUMP_SHOTS,,2000
Sam Cassell,208,Standard Layup,2,141,77,LAYUPS,,2000
Sam Cassell,208,Tip Shot,2,4,1,TIP_SHOTS,,2000
Sam Cassell,208,Driving Layup,2,39,24,LAYUPS,,2001
Sam Cassell,208,Finger Roll,2,5,4,LAYUPS,,2001
Sam Cassell,208,Hook Shot,2,2,0,POST_MOVES,,2001
Sam Cassell,208,Jump Shot,2,895,406,JUMP_SHOTS,,2001
Sam Cassell,208,Jump Shot,3,36,10,JUMP_SHOTS,,2001
Sam Cassell,208,Reverse Layup,2,4,4,LAYUPS,,2001
Sam Cassell,208,Running Jump Shot,2,27,16,JUMP_SHOTS,,2001
Sam Cassell,208,Standard Layup,2,111,64,LAYUPS,,2001
Sam Cassell,208,Tip Shot,2,1,1,TIP_SHOTS,,2001
Sam Cassell,208,Turnaround Jump Shot,2,12,8,JUMP_SHOTS,,2001
Sam Cassell,208,Driving Layup,2,34,26,LAYUPS,,2002
Sam Cassell,208,Fadeaway Jump Shot,2,10,8,JUMP_SHOTS,,2002
Sam Cassell,208,Finger Roll,2,2,0,LAYUPS,,2002
Sam Cassell,208,Jump Shot,2,1046,452,JUMP_SHOTS,,2002
Sam Cassell,208,Reverse Layup,2,4,3,LAYUPS,,2002
Sam Cassell,208,Running Hook Shot,2,1,1,POST_MOVES,,2002
