PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Ime Udoka,2137,Driving Layup,2,2,2,LAYUPS,,2004
Ime Udoka,2137,Jump Shot,2,5,0,JUMP_SHOTS,,2004
Ime Udoka,2137,Reverse Layup,2,1,1,LAYUPS,,2004
Ime Udoka,2137,Turnaround Jump Shot,2,1,0,JUMP_SHOTS,,2004
Ime Udoka,2137,Driving Layup,2,1,0,LAYUPS,,2006
Ime Udoka,2137,Jump Shot,2,17,5,JUMP_SHOTS,,2006
Ime Udoka,2137,Standard Layup,2,3,2,LAYUPS,,2006
Ime Udoka,2137,Tip Shot,2,3,2,TIP_SHOTS,,2006
Ime Udoka,2137,Alley Oop Layup,2,1,0,LAYUPS,,2007
Ime Udoka,2137,Driving Hook Shot,2,1,0,POST_MOVES,,2007
Ime Udoka,2137,Driving Layup,2,22,18,LAYUPS,,2007
Ime Udoka,2137,Fadeaway Jump Shot,2,2,0,JUMP_SHOTS,,2007
Ime Udoka,2137,Finger Roll,2,1,0,LAYUPS,,2007
Ime Udoka,2137,Hook Shot,2,5,1,POST_MOVES,,2007
Ime Udoka,2137,Jump Shot,2,358,137,JUMP_SHOTS,,2007
Ime Udoka,2137,Reverse Layup,2,12,10,LAYUPS,,2007
Ime Udoka,2137,Running Hook Shot,2,1,1,POST_MOVES,,2007
Ime Udoka,2137,Running Jump Shot,2,4,2,JUMP_SHOTS,,2007
Ime Udoka,2137,Standard Layup,2,90,56,LAYUPS,,2007
Ime Udoka,2137,Tip Shot,2,13,8,TIP_SHOTS,,2007
Ime Udoka,2137,Turnaround Hook Shot,2,1,1,POST_MOVES,,2007
Ime Udoka,2137,Turnaround Jump Shot,2,3,3,JUMP_SHOTS,,2007
Ime Udoka,2137,Driving Dunk,2,1,1,DUNKS,,2008
Ime Udoka,2137,Driving Jump Shot,2,1,1,JUMP_SHOTS,,2008
Ime Udoka,2137,Driving Layup,2,10,8,LAYUPS,,2008
Ime Udoka,2137,Fadeaway Jump Shot,2,2,2,JUMP_SHOTS,,2008
Ime Udoka,2137,Finger Roll,2,1,1,LAYUPS,,2008
Ime Udoka,2137,Floating Jump Shot,2,3,1,FLOATING_SHOTS,,2008
Ime Udoka,2137,Hook Shot,2,1,0,POST_MOVES,,2008
Ime Udoka,2137,Jump Shot,2,277,103,JUMP_SHOTS,,2008
Ime Udoka,2137,Jump Shot,3,3,3,JUMP_SHOTS,,2008
Ime Udoka,2137,Pullup Jump Shot,2,6,5,JUMP_SHOTS,,2008
Ime Udoka,2137,Reverse Layup,2,3,2,LAYUPS,,2008
Ime Udoka,2137,Running Jump Shot,2,3,0,JUMP_SHOTS,,2008
Ime Udoka,2137,Standard Dunk,2,3,3,DUNKS,,2008
Ime Udoka,2137,Standard Layup,2,51,27,LAYUPS,,2008
Ime Udoka,2137,Tip Shot,2,8,2,TIP_SHOTS,,2008
Ime Udoka,2137,Turnaround Jump Shot,2,2,0,JUMP_SHOTS,,2008
Ime Udoka,2137,Driving Layup,2,4,2,LAYUPS,,2009
Ime Udoka,2137,Finger Roll,2,2,1,LAYUPS,,2009
Ime Udoka,2137,Jump Shot,2,206,70,JUMP_SHOTS,,2009
Ime Udoka,2137,Jump Shot,3,9,5,JUMP_SHOTS,,2009
Ime Udoka,2137,Pullup Jump Shot,2,8,6,JUMP_SHOTS,,2009
Ime Udoka,2137,Putback Layup,2,1,1,LAYUPS,,2009
Ime Udoka,2137,Reverse Dunk,2,1,1,DUNKS,,2009
Ime Udoka,2137,Reverse Layup,2,5,2,LAYUPS,,2009
Ime Udoka,2137,Running Jump Shot,2,5,3,JUMP_SHOTS,,2009
Ime Udoka,2137,Standard Dunk,2,3,3,DUNKS,,2009
Ime Udoka,2137,Standard Layup,2,35,13,LAYUPS,,2009
Ime Udoka,2137,Step Back Jump Shot,2,3,2,JUMP_SHOTS,,2009
Ime Udoka,2137,Tip Shot,2,4,1,TIP_SHOTS,,2009
Ime Udoka,2137,Turnaround Jump Shot,2,1,0,JUMP_SHOTS,,2009
Ime Udoka,2137,Driving Layup,2,7,6,LAYUPS,,2010
Ime Udoka,2137,Fadeaway Jump Shot,2,3,2,JUMP_SHOTS,,2010
Ime Udoka,2137,Finger Roll,2,1,1,LAYUPS,,2010
Ime Udoka,2137,Floating Jump Shot,2,2,2,FLOATING_SHOTS,,2010
Ime Udoka,2137,Hook Shot,2,1,1,POST_MOVES,,2010
Ime Udoka,2137,Jump Shot,2,158,39,JUMP_SHOTS,,2010
Ime Udoka,2137,Pullup Jump Shot,2,5,5,JUMP_SHOTS,,2010
Ime Udoka,2137,Reverse Layup,2,1,1,LAYUPS,,2010
Ime Udoka,2137,Running Hook Shot,2,1,1,POST_MOVES,,2010
Ime Udoka,2137,Running Jump Shot,2,4,3,JUMP_SHOTS,,2010
Ime Udoka,2137,Standard Dunk,2,2,2,DUNKS,,2010
Ime Udoka,2137,Standard Layup,2,37,20,LAYUPS,,2010
Ime Udoka,2137,Step Back Jump Shot,2,1,1,JUMP_SHOTS,,2010
Ime Udoka,2137,Tip Shot,2,11,2,TIP_SHOTS,,2010
Ime Udoka,2137,Turnaround Jump Shot,2,6,4,JUMP_SHOTS,,2010
Ime Udoka,2137,Jump Shot,2,14,1,JUMP_SHOTS,,2011
Ime Udoka,2137,Pullup Jump Shot,2,3,2,JUMP_SHOTS,,2011
Ime Udoka,2137,Standard Layup,2,4,2,LAYUPS,,2011
