PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Andreas Glyniadakis,2601,Alley Oop Layup,2,1,1,Alley Oop Layup shot,LAYUPS,,2007
Andreas Glyniadakis,2601,Driving Layup,2,1,1,Driving Layup Shot,LAYUPS,,2007
Andreas Glyniadakis,2601,Hook Shot,2,4,2,Hook Shot,POST_MOVES,,2007
Andreas Glyniadakis,2601,Jump Shot,2,1,1,Jump Bank Shot,JUMP_SHOTS,,2007
Andreas Glyniadakis,2601,Jump Shot,2,7,2,Jump Shot,JUMP_SHOTS,,2007
Andreas Glyniadakis,2601,Standard Layup,2,2,0,Layup Shot,LAYUPS,,2007
Andreas Glyniadakis,2601,Turnaround Jump Shot,2,1,1,Turnaround Jump Shot,JUMP_SHOTS,,2007
