PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Malcolm Miller,1626259,Specialty Dunk,2,2,2,Cutting Dunk Shot,DUNKS,,2018
Malcolm Miller,1626259,Standard Layup,2,1,1,Cutting Layup Shot,LAYUPS,,2018
Malcolm Miller,1626259,Driving Layup,2,2,1,Driving Layup Shot,LAYUPS,,2018
Malcolm Miller,1626259,Jump Shot,2,11,4,Jump Shot,JUMP_SHOTS,,2018
Malcolm Miller,1626259,Jump Shot,3,7,3,Jump Shot,JUMP_SHOTS,,2018
Malcolm Miller,1626259,Standard Layup,2,1,1,Layup Shot,LAYUPS,,2018
Malcolm Miller,1626259,Pullup Jump Shot,2,1,0,Pullup Jump shot,JUMP_SHOTS,,2018
Malcolm Miller,1626259,Running Jump Shot,3,1,0,Running Jump Shot,JUMP_SHOTS,,2018
Malcolm Miller,1626259,Running Jump Shot,2,1,1,Running Pull-Up Jump Shot,JUMP_SHOTS,,2018
Malcolm Miller,1626259,Putback Layup,2,1,0,Tip Layup Shot,LAYUPS,,2018
Malcolm Miller,1626259,Finger Roll,2,1,0,Driving Finger Roll Layup Shot,LAYUPS,,2019
Malcolm Miller,1626259,Driving Layup,2,1,0,Driving Layup Shot,LAYUPS,,2019
Malcolm Miller,1626259,Jump Shot,2,1,1,Jump Bank Shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Jump Shot,2,12,6,Jump Shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Jump Shot,3,6,2,Jump Shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Standard Layup,2,1,0,Layup Shot,LAYUPS,,2019
Malcolm Miller,1626259,Pullup Jump Shot,2,1,1,Pullup Jump shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Running Jump Shot,2,1,0,Running Jump Shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Running Jump Shot,3,1,1,Running Jump Shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Step Back Jump Shot,2,1,0,Step Back Jump shot,JUMP_SHOTS,,2019
Malcolm Miller,1626259,Driving Hook Shot,2,1,1,Driving Hook Shot,POST_MOVES,,2020
Malcolm Miller,1626259,Driving Layup,2,1,1,Driving Layup Shot,LAYUPS,,2020
Malcolm Miller,1626259,Jump Shot,2,14,4,Jump Shot,JUMP_SHOTS,,2020
Malcolm Miller,1626259,Jump Shot,3,7,4,Jump Shot,JUMP_SHOTS,,2020
Malcolm Miller,1626259,Standard Layup,2,1,0,Layup Shot,LAYUPS,,2020
Malcolm Miller,1626259,Pullup Jump Shot,2,1,0,Pullup Jump shot,JUMP_SHOTS,,2020
Malcolm Miller,1626259,Putback Layup,2,1,1,Putback Layup Shot,LAYUPS,,2020
Malcolm Miller,1626259,Standard Layup,2,1,0,Running Layup Shot,LAYUPS,,2020
Malcolm Miller,1626259,Step Back Jump Shot,2,1,1,Step Back Jump shot,JUMP_SHOTS,,2020
Malcolm Miller,1626259,Putback Layup,2,1,0,Tip Layup Shot,LAYUPS,,2020
