PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Voshon Lenard,702,Driving Dunk,2,1,1,Driving Dunk Shot,DUNKS,,1997
Voshon Lenard,702,Driving Layup,2,33,26,Driving Layup Shot,LAYUPS,,1997
Voshon Lenard,702,Standard Dunk,2,3,3,Dunk Shot,DUNKS,,1997
Voshon Lenard,702,Hook Shot,2,1,1,Hook Shot,POST_MOVES,,1997
Voshon Lenard,702,Jump Shot,2,569,235,Jump Shot,JUMP_SHOTS,,1997
Voshon Lenard,702,Standard Layup,2,64,39,Layup Shot,LAYUPS,,1997
Voshon Lenard,702,Running Jump Shot,2,9,6,Running Jump Shot,JUMP_SHOTS,,1997
Voshon Lenard,702,Standard Dunk,2,1,1,Slam Dunk Shot,DUNKS,,1997
Voshon Lenard,702,Tip Shot,2,3,2,Tip Shot,TIP_SHOTS,,1997
Voshon Lenard,702,Driving Layup,2,51,30,Driving Layup Shot,LAYUPS,,1998
Voshon Lenard,702,Standard Dunk,2,1,1,Dunk Shot,DUNKS,,1998
Voshon Lenard,702,Hook Shot,2,3,1,Hook Shot,POST_MOVES,,1998
Voshon Lenard,702,Jump Shot,2,697,272,Jump Shot,JUMP_SHOTS,,1998
Voshon Lenard,702,Standard Layup,2,79,47,Layup Shot,LAYUPS,,1998
Voshon Lenard,702,Running Jump Shot,2,16,10,Running Jump Shot,JUMP_SHOTS,,1998
Voshon Lenard,702,Standard Dunk,2,1,1,Slam Dunk Shot,DUNKS,,1998
Voshon Lenard,702,Tip Shot,2,6,1,Tip Shot,TIP_SHOTS,,1998
Voshon Lenard,702,Driving Layup,2,3,0,Driving Layup Shot,LAYUPS,,1999
Voshon Lenard,702,Jump Shot,2,71,29,Jump Shot,JUMP_SHOTS,,1999
Voshon Lenard,702,Standard Layup,2,4,2,Layup Shot,LAYUPS,,1999
Voshon Lenard,702,Running Jump Shot,2,1,0,Running Jump Shot,JUMP_SHOTS,,1999
Voshon Lenard,702,Driving Layup,2,31,23,Driving Layup Shot,LAYUPS,,2000
