PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Myles Turner,1626167,2PT Driving Jump Shot,1,1,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Fadeaway Jump Shot,3,2,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Floating Jump Shot,4,2,FLOATING_SHOTS,2016
Myles Turner,1626167,2PT Jump Shot,251,96,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Pullup Jump Shot,6,4,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Running Jump Shot,2,0,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Step Back Jump Shot,12,6,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,2PT Turnaround Jump Shot,52,22,TWO_POINT_JUMPERS,2016
Myles Turner,1626167,Alley Oop Dunk,6,6,DUNKS,2016
Myles Turner,1626167,Alley Oop Layup,12,6,LAYUPS,2016
Myles Turner,1626167,Driving Dunk,1,1,DUNKS,2016
Myles Turner,1626167,Driving Hook Shot,2,1,POST_MOVES,2016
Myles Turner,1626167,Driving Layup,14,8,LAYUPS,2016
Myles Turner,1626167,Finger Roll,6,6,LAYUPS,2016
Myles Turner,1626167,Hook Shot,18,5,POST_MOVES,2016
Myles Turner,1626167,Putback Dunk,1,1,DUNKS,2016
Myles Turner,1626167,Putback Layup,21,15,LAYUPS,2016
Myles Turner,1626167,Reverse Layup,7,5,LAYUPS,2016
Myles Turner,1626167,Specialty Dunk,6,5,DUNKS,2016
Myles Turner,1626167,Standard Dunk,14,13,DUNKS,2016
Myles Turner,1626167,Standard Layup,76,49,LAYUPS,2016
Myles Turner,1626167,Turnaround Hook Shot,15,10,POST_MOVES,2016
Myles Turner,1626167,2PT Driving Jump Shot,2,1,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Fadeaway Jump Shot,5,1,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Floating Jump Shot,1,1,FLOATING_SHOTS,2017
Myles Turner,1626167,2PT Jump Shot,464,173,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Pullup Jump Shot,5,3,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Running Jump Shot,1,1,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Step Back Jump Shot,9,5,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,2PT Turnaround Jump Shot,34,21,TWO_POINT_JUMPERS,2017
Myles Turner,1626167,3PT Jump Shot,38,18,THREE_POINT_JUMPERS,2017
Myles Turner,1626167,3PT Step Back Jump Shot,1,1,THREE_POINT_JUMPERS,2017
Myles Turner,1626167,Alley Oop Dunk,6,6,DUNKS,2017
Myles Turner,1626167,Alley Oop Layup,14,11,LAYUPS,2017
Myles Turner,1626167,Driving Dunk,3,3,DUNKS,2017
Myles Turner,1626167,Driving Hook Shot,4,1,POST_MOVES,2017
Myles Turner,1626167,Driving Layup,16,9,LAYUPS,2017
Myles Turner,1626167,Finger Roll,8,7,LAYUPS,2017
Myles Turner,1626167,Hook Shot,11,7,POST_MOVES,2017
Myles Turner,1626167,Putback Dunk,8,8,DUNKS,2017
Myles Turner,1626167,Putback Layup,45,27,LAYUPS,2017
Myles Turner,1626167,Reverse Dunk,1,1,DUNKS,2017
Myles Turner,1626167,Reverse Layup,5,4,LAYUPS,2017
Myles Turner,1626167,Specialty Dunk,21,21,DUNKS,2017
Myles Turner,1626167,Standard Dunk,49,48,DUNKS,2017
Myles Turner,1626167,Standard Layup,107,59,LAYUPS,2017
Myles Turner,1626167,Turnaround Hook Shot,11,7,POST_MOVES,2017
Myles Turner,1626167,2PT Fadeaway Jump Shot,1,0,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,2PT Floating Jump Shot,8,1,FLOATING_SHOTS,2018
Myles Turner,1626167,2PT Jump Shot,202,92,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,2PT Pullup Jump Shot,10,8,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,2PT Running Jump Shot,2,2,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,2PT Step Back Jump Shot,14,9,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,2PT Turnaround Jump Shot,34,15,TWO_POINT_JUMPERS,2018
Myles Turner,1626167,3PT Jump Shot,155,55,THREE_POINT_JUMPERS,2018
Myles Turner,1626167,3PT Pullup Jump Shot,1,1,THREE_POINT_JUMPERS,2018
Myles Turner,1626167,3PT Step Back Jump Shot,1,0,THREE_POINT_JUMPERS,2018
Myles Turner,1626167,Alley Oop Layup,3,2,LAYUPS,2018
Myles Turner,1626167,Driving Dunk,9,6,DUNKS,2018
Myles Turner,1626167,Driving Layup,25,14,LAYUPS,2018
Myles Turner,1626167,Finger Roll,20,11,LAYUPS,2018
Myles Turner,1626167,Hook Shot,7,1,POST_MOVES,2018
Myles Turner,1626167,Putback Dunk,7,7,DUNKS,2018
Myles Turner,1626167,Putback Layup,34,18,LAYUPS,2018
Myles Turner,1626167,Reverse Layup,2,1,LAYUPS,2018
Myles Turner,1626167,Specialty Dunk,20,18,DUNKS,2018
Myles Turner,1626167,Standard Dunk,18,15,DUNKS,2018
Myles Turner,1626167,Standard Layup,55,23,LAYUPS,2018
Myles Turner,1626167,Turnaround Hook Shot,11,7,POST_MOVES,2018
Myles Turner,1626167,2PT Fadeaway Jump Shot,5,3,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,2PT Floating Jump Shot,11,5,FLOATING_SHOTS,2019
Myles Turner,1626167,2PT Jump Shot,247,105,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,2PT Pullup Jump Shot,12,3,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,2PT Step Back Jump Shot,3,1,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,2PT Turnaround Jump Shot,35,20,TWO_POINT_JUMPERS,2019
Myles Turner,1626167,3PT Jump Shot,191,73,THREE_POINT_JUMPERS,2019
Myles Turner,1626167,3PT Pullup Jump Shot,3,2,THREE_POINT_JUMPERS,2019
Myles Turner,1626167,3PT Step Back Jump Shot,2,1,THREE_POINT_JUMPERS,2019
Myles Turner,1626167,Alley Oop Layup,4,4,LAYUPS,2019
Myles Turner,1626167,Driving Dunk,12,9,DUNKS,2019
Myles Turner,1626167,Driving Hook Shot,4,3,POST_MOVES,2019
Myles Turner,1626167,Driving Layup,23,8,LAYUPS,2019
Myles Turner,1626167,Finger Roll,28,23,LAYUPS,2019
Myles Turner,1626167,Hook Shot,15,7,POST_MOVES,2019
Myles Turner,1626167,Putback Dunk,2,1,DUNKS,2019
Myles Turner,1626167,Putback Layup,33,21,LAYUPS,2019
Myles Turner,1626167,Specialty Dunk,23,21,DUNKS,2019
Myles Turner,1626167,Standard Dunk,26,23,DUNKS,2019
Myles Turner,1626167,Standard Layup,71,37,LAYUPS,2019
Myles Turner,1626167,Turnaround Hook Shot,29,10,POST_MOVES,2019
Myles Turner,1626167,2PT Fadeaway Jump Shot,4,2,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,2PT Floating Jump Shot,11,5,FLOATING_SHOTS,2020
Myles Turner,1626167,2PT Jump Shot,63,25,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,2PT Pullup Jump Shot,15,6,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,2PT Step Back Jump Shot,3,0,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,2PT Turnaround Jump Shot,66,36,TWO_POINT_JUMPERS,2020
Myles Turner,1626167,3PT Jump Shot,241,84,THREE_POINT_JUMPERS,2020
Myles Turner,1626167,3PT Pullup Jump Shot,4,1,THREE_POINT_JUMPERS,2020
Myles Turner,1626167,3PT Running Jump Shot,3,1,THREE_POINT_JUMPERS,2020
Myles Turner,1626167,3PT Step Back Jump Shot,2,0,THREE_POINT_JUMPERS,2020
Myles Turner,1626167,Alley Oop Dunk,3,2,DUNKS,2020
Myles Turner,1626167,Alley Oop Layup,1,0,LAYUPS,2020
Myles Turner,1626167,Driving Dunk,5,4,DUNKS,2020
Myles Turner,1626167,Driving Layup,27,11,LAYUPS,2020
Myles Turner,1626167,Finger Roll,27,21,LAYUPS,2020
Myles Turner,1626167,Hook Shot,6,0,POST_MOVES,2020
Myles Turner,1626167,Putback Dunk,5,5,DUNKS,2020
Myles Turner,1626167,Putback Layup,18,13,LAYUPS,2020
Myles Turner,1626167,Reverse Layup,2,1,LAYUPS,2020
Myles Turner,1626167,Specialty Dunk,14,10,DUNKS,2020
Myles Turner,1626167,Standard Dunk,11,10,DUNKS,2020
Myles Turner,1626167,Standard Layup,46,27,LAYUPS,2020
Myles Turner,1626167,Turnaround Hook Shot,9,4,POST_MOVES,2020
Myles Turner,1626167,2PT Fadeaway Jump Shot,3,2,TWO_POINT_JUMPERS,2021
Myles Turner,1626167,2PT Floating Jump Shot,8,1,FLOATING_SHOTS,2021
Myles Turner,1626167,2PT Jump Shot,9,6,TWO_POINT_JUMPERS,2021
Myles Turner,1626167,2PT Pullup Jump Shot,8,3,TWO_POINT_JUMPERS,2021
Myles Turner,1626167,2PT Step Back Jump Shot,1,0,TWO_POINT_JUMPERS,2021
Myles Turner,1626167,2PT Turnaround Jump Shot,26,12,TWO_POINT_JUMPERS,2021
Myles Turner,1626167,3PT Jump Shot,194,66,THREE_POINT_JUMPERS,2021
Myles Turner,1626167,3PT Pullup Jump Shot,7,2,THREE_POINT_JUMPERS,2021
Myles Turner,1626167,3PT Running Jump Shot,3,1,THREE_POINT_JUMPERS,2021
Myles Turner,1626167,3PT Step Back Jump Shot,2,0,THREE_POINT_JUMPERS,2021
Myles Turner,1626167,Alley Oop Dunk,1,1,DUNKS,2021
Myles Turner,1626167,Alley Oop Layup,4,2,LAYUPS,2021
Myles Turner,1626167,Driving Dunk,4,4,DUNKS,2021
Myles Turner,1626167,Driving Layup,23,10,LAYUPS,2021
Myles Turner,1626167,Finger Roll,31,24,LAYUPS,2021
