PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Robert Williams III,1629057,Alley Oop Dunk,2,9,8,Alley Oop Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Specialty Dunk,2,8,8,Cutting Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Standard Layup,2,2,1,Cutting Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Driving Dunk,2,1,0,Driving Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Driving Layup,2,1,1,Driving Reverse Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Standard Dunk,2,6,5,Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Jump Shot,2,4,1,Jump Shot,JUMP_SHOTS,,2019
Robert Williams III,1629057,Standard Layup,2,5,4,Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Putback Dunk,2,1,1,Putback Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Putback Layup,2,2,1,Putback Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Alley Oop Dunk,2,2,2,Running Alley Oop Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Standard Dunk,2,1,1,Running Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Standard Layup,2,1,1,Running Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Specialty Dunk,2,3,1,Tip Dunk Shot,DUNKS,,2019
Robert Williams III,1629057,Putback Layup,2,5,1,Tip Layup Shot,LAYUPS,,2019
Robert Williams III,1629057,Alley Oop Dunk,2,19,16,Alley Oop Dunk Shot,DUNKS,,2020
Robert Williams III,1629057,Alley Oop Layup,2,8,4,Alley Oop Layup shot,LAYUPS,,2020
Robert Williams III,1629057,Specialty Dunk,2,13,12,Cutting Dunk Shot,DUNKS,,2020
Robert Williams III,1629057,Standard Layup,2,2,1,Cutting Layup Shot,LAYUPS,,2020
Robert Williams III,1629057,Driving Hook Shot,2,1,1,Driving Hook Shot,POST_MOVES,,2020
Robert Williams III,1629057,Standard Dunk,2,6,6,Dunk Shot,DUNKS,,2020
Robert Williams III,1629057,Floating Jump Shot,2,1,0,Floating Jump shot,FLOATING_SHOTS,,2020
Robert Williams III,1629057,Hook Shot,2,1,1,Hook Shot,POST_MOVES,,2020
Robert Williams III,1629057,Jump Shot,2,6,3,Jump Shot,JUMP_SHOTS,,2020
Robert Williams III,1629057,Standard Layup,2,10,8,Layup Shot,LAYUPS,,2020
Robert Williams III,1629057,Pullup Jump Shot,2,1,0,Pullup Jump shot,JUMP_SHOTS,,2020
Robert Williams III,1629057,Putback Dunk,2,1,1,Putback Dunk Shot,DUNKS,,2020
Robert Williams III,1629057,Putback Layup,2,4,4,Putback Layup Shot,LAYUPS,,2020
Robert Williams III,1629057,Standard Layup,2,1,1,Running Layup Shot,LAYUPS,,2020
Robert Williams III,1629057,Specialty Dunk,2,1,1,Tip Dunk Shot,DUNKS,,2020
Robert Williams III,1629057,Putback Layup,2,12,4,Tip Layup Shot,LAYUPS,,2020
Robert Williams III,1629057,Turnaround Jump Shot,2,1,1,Turnaround Jump Shot,JUMP_SHOTS,,2020
Robert Williams III,1629057,Alley Oop Dunk,2,38,35,Alley Oop Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Alley Oop Layup,2,16,10,Alley Oop Layup shot,LAYUPS,,2021
Robert Williams III,1629057,Specialty Dunk,2,20,19,Cutting Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Standard Layup,2,12,9,Cutting Layup Shot,LAYUPS,,2021
Robert Williams III,1629057,Driving Dunk,2,1,1,Driving Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Floating Jump Shot,2,1,1,Driving Floating Bank Jump Shot,FLOATING_SHOTS,,2021
Robert Williams III,1629057,Driving Layup,2,7,3,Driving Layup Shot,LAYUPS,,2021
Robert Williams III,1629057,Standard Dunk,2,19,18,Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Fadeaway Jump Shot,2,1,0,Fadeaway Jump Shot,JUMP_SHOTS,,2021
Robert Williams III,1629057,Floating Jump Shot,2,4,1,Floating Jump shot,FLOATING_SHOTS,,2021
Robert Williams III,1629057,Hook Shot,2,1,1,Hook Bank Shot,POST_MOVES,,2021
Robert Williams III,1629057,Jump Shot,2,27,12,Jump Shot,JUMP_SHOTS,,2021
Robert Williams III,1629057,Standard Layup,2,31,19,Layup Shot,LAYUPS,,2021
Robert Williams III,1629057,Pullup Jump Shot,2,2,0,Pullup Jump shot,JUMP_SHOTS,,2021
Robert Williams III,1629057,Putback Dunk,2,2,2,Putback Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Putback Layup,2,13,8,Putback Layup Shot,LAYUPS,,2021
Robert Williams III,1629057,Reverse Layup,2,2,2,Reverse Layup Shot,LAYUPS,,2021
Robert Williams III,1629057,Alley Oop Dunk,2,3,3,Running Alley Oop Dunk Shot,DUNKS,,2021
Robert Williams III,1629057,Alley Oop Layup,2,1,1,Running Alley Oop Layup Shot,LAYUPS,,2021
